# Simple Perfect	Compound Perfect	Contingent	Compound Imperfect	Jussive	Imperative	Gerund	Infinitive	Participle	Translation	Verb Type
መገ፟በ	መግ፟ቧል	ይመግ፟ብ	ይመግ፟ባል 	ይመግ፟ብ	ይመግ፟ብ	መግ፟ብ	መመገ-ብ	መጋ፟ቢ	feed	t
መጣ፟	መጥ፟ቷል	ይመጣ	ይመጣል	ይምጣ	ና፡ነይ፡ኑ neg. አት፟ምጣ	መጥ፟ቶ	መምጣት	መጭ	come	i
መጠ፟ነ	መጥ፟ኗል	ይመጥ፟ን	ይመጥ፟ናል	ይመጥ፟ን	መጥ፟ን	መጥ፟ኖ	መመጠ፟ን	መጣ፟ኝ	measure out	t
ሟጨ፟ረ	ሟጭ፟ሯል	ይሟጭ፟ር	ይሟጭ፟ራል	ይሟጭ፟ር	ሟጭ፟ር	ሟጭ፟ሮ	መሟጨ፟ር	ሟጫ፟ሪ	scratch	t
መጻ፟	መጽቷል	ይመጻ	ይመጻል	ይምጻ	ና	መጽቶ	መምጻት	መጭ	come	i
እረሳ፟	እረስቷል	ይረሳ	ይረሳል	ይርሳ	እርሳ	እረስቶ	መርሳት	እረሽ	forget	t
እራስ	እርሷል	ይርስ 	ይርሳል	ይራስ		እርሶ 	መራስ	እራሽ	be wet	i
እራቀ	እርቋል	ይርቅ	ይርቃል	ይራቅ	እራቅ	እርቆ	መራቅ	እራቂ	be distant	i
እረባ፟	እረብቷል	ይረባ	ይረባል	ይርባ	እርባ	እረብቶ	መርባት	እረቢ	be useful	i
እራበው	እርቦታል	ይርበው	ይርበዋል	ይራበው	ይራብህ	እርቦት	መራብ		be hungry 	i
እረታ፟	እረትቷ፟ል	ይረታ	ይረታል	ይርታ	እርታ	እረትቶ	መርታት	እረች	overcome	t
ረዘ፟መ	ረዝሟል	ይረዝም	ይረዝማል	ይርዘም		ረዝሞ	መርዘም	ረዛሚ	be long	i
እረዳ፟	እረድቷል	ይረዳ 	ይረዳል	ይርዳ	እርዳ	እረድቶ	መርዳት	እረጅ	help 	t
እረጋ፟	እረግቷል	ይረጋ	ይረጋል	ይርጋ	እርጋ	እረግቶ	መርጋት	እረጊ	coagulate	i
ረ፟ገመ	ረግሟል	ይረግም	ይረግማል	ይርገም	እርገም	ረግሞ	መርገም	ረጋሚ	curse	t
እሮጠ	እሩጧል	ይሮጥ	ይሮጣል	ይሩጥ	እሩጥ	እሩጦ	መሮጥ	እሯጭ	run	i
ረጠ፟በ	ረጥቧል	ይረጥብ	ይረጥባል	ይርጠብ	እርጠብ	ረጥቦ	መርጠብ	ረጣቢ	be wet	i
ረፈ፟ደ	ረፍዷል	ይረፍድ	ይረፍዳል			ረፍዶ	መርፈድ		before noon	i
ሳለ	ስሏል	ይስል	ይስላል	ይሳል	ሳል	ስሎ	መሳል	ሳይ	cough	i
ሰለ፟ለ	ስሏ፟ል					ስሎ፟	መስለል		be paralysed	i
ሰለ፟ለ	ሰል፟ሏል	ይሰል፟ል	ይሰል፟ላል	ይሰል፟ል	ሰል፟ል	ሰል፟ሎ	መሰለ፟ል	ሰላ፟ይ	spy on	t
ሰማ፟	ስምቷል	ይስማ	ይሰማል	ይስማ	ስማ	ስምቶ	መስማት	ሰሚ	hear	t
ሳመ	ስሟል	ይስም	ይስማል	ይሳም	ሳም	ስሞ	መሳም	ሳሚ	kiss	t
ሰራ፟	ሰርቷል	ይሰራ	ይሰራል	ይሰራ	ስራ	ሰርቶ	መስራት	ሰሪ	work, build, decree	t
ሰረሰ፟ረ	ሰርስሯል	ይሰረስ፟ር	ይሰረስ፟ራል	ይሰርስር	ስርስር	ሰርስሮ	መሰርሰር	ሰርሳሪ	bore through	t
ሰረ፟ቀ	ሰርቋል	ይስረቅ	ይሰርቃል	ይስረቅ	ስርቅ	ሰርቆ	መስረቅ	ስራቂ	steal	t
ሣሣ፟	ሣሥቷል	ይሣሣ፟	ይሣሣ፟ል	ይሣሣ		ሣሥቶ	መሣሣት	ሣሽ	be thin	i
ሣቀ	ሥቋል	ይሥቅ	ይሥቃል	ይሣቅ	ሣቅ	ሥቆ	መሣቅ	ሣቂ	laugh	i
ሰቀ፟ለ	ሰቅሏል	ይሰቅል	ይሰቅላል	ይስቀል	ሰቀል	ሰቅሎ	መስቀል	ሰቃይ	suspend	t
ሳበ	ስቧል	ይስብ	ይስባል	ይሳብ	ሳብ	ስቦ	መሳብ	ሳቢ	draw	t
ሰበ፟ረ	ሰብሯል	ይስበር	ይሰብራል	ይሰበር	ስበር	ሰብሮ	መስበር	ሰባሪ	break	t
ስበሰ፟በ	ሰብስቧል	ይሰበስ፟ብ	ይሰበስ፟ባል	ይሰብስብ 	ስብስብ 	ስብስቦ	መሰብሰብ 	ሰብሳቢ	collect	t
ሰባበ፟ረ	ሰባብሯል	ይሰባብ፟ር	ይሰባብ፟ራል	ይሰባብር	ሰባብር	ሰባብሮ	መሰባበር	ሰባባሪ	shatter	t
ሳተ	ስቷል	ይስት	ይስታል	ይሳት	ሳት	ስቶ	መሳት	ሳች	miss	t
ሰነበ፟ተ	ሰንብቷል	ይሰንብ፟ት	ይሰነብ፟ታል	ይሰንብት	ሰንብት	ስንብቶ	መሰንበት	ሰንባች	remain	i
ሰነጠ፟ቀ	ሰንጥቋል	ይሰነጥ፟ቅ	ይሰነጥ፟ቃል	ይሰንጥቅ	ስንጥቅ	ሰንጥቆ	መሰንጠቅ	ሰንጣቂ	split	t
ሰከ፟ረ	ሰክሯል	ይሰክር	ይሰክራል	ይስከር	ሰከር	ሰክሮ	መስከር	ሰካሪ	be intoxicated	i
ሰወረ	ሰውሯል	ይሰውር	ይሰውራል	ይሰውር	ስውር	ሰውሮ	መሰወር	ሰዋሪ	hide	t
ሰደ፟በ	ሰድቧል	ይሰድብ	ይሰድባል	ይስደብ	ስድብ	ሰድቦ 	መስደብ	ሰዳቢ	abuse	t
ሰደ፟ደ	ሰዷ፟ል	ይሰድ፟	ይሰዳ፟ል	ይስደድ	ስደድ	ሰዶ፟	መስደድ	ሰዳጅ	send	t
ሰጋ፟	ሰግቷል	ይሰጋ	ይሰጋል	ይስጋ	ስጋ	ሰግቶ	መስጋት	ሰጊ	be afraid	i
ሠገ፟ረ	ሠግሯል	ይሠግር	ይሠግራል	ይሥገር		ሠግሮ	መሥገር	ሠጋሪ	able	i
ሰገ፟ደ	ሰግዷል	ይሰግድ	ይሰግዳል	ይስገድ	ሰገድ	ሰግዶ	መስገድ	ሰጋጅ	adore	t
ሰጠ፟ 2nd ሰጠህ	ሰጥቷል	ይስጥ	ይሰጣል	ይስጥ	ስጥ	ስጥቶ	መስጠት	ሰጭ	give   	t
ሰፋ፟	ስፍቷል	ይሰፋ	ይሰፋል	ይስፋ	ሰፋ	ሰፍቶ	መስፋት	ሰፊ	(a) sew, (b) be broad	t,i
ሰፈ፟ረ	ስፍሯል	ይሰፍር	ይሰፍራል	ይስፈር	ሰፈር	ሰፍሮ	መስፈር	ሰፋሪ	measure, encamp	t,i
እሻ	እሽቷል	ይሻ	ይሻል	ይሻ	እሻ	እሽቶ	መሻት		need, seek	t
ሾመ	ሹሟል	ይሾም	ይሾማል	ይሹም	ሹም	ሹሞ	መሾም	ሿሚ	set in authority	t
ሸሸ፟ 2nd ሸህ	ሸሽቷል	ይሽሽ	ይሸሻል	ይሽሽ	ሽሽ	ሸሽቶ	መሸሽ	ሸሺ	flee from	t
ሸሸ፟ገ	ሸሽ፟ጓል	ይሸሽ፟ግ	ይሸሽ፟ጋል	ይሸሽ፟ግ	ሽሽ፟ግ	ሽሽ፟ጎ	መሸሸ፟ግ	ሸሻ፟ጊ	hide	t
ሸበሸ፟በ	ሸብሽቧል	ይሸበሽ፟ብ	ይሸበሽ፟ባል	ይሸብሽብ	ሽብሽብ	ሽብሽቦ	መሸብሸብ	ሸብሻቢ	plait	t
ሸተ፟ተ	ሸቷ፟ል	ይሸት	ይሸታል	ይሽተት	ሽተት	ሽቶ፟	መሽተት	ሸታች	smell	i
ሸነ፟ 2nd ሸነ፟ህ	ሸንቷል	ይሽን	ይሽናል	ይሸን	ሽን	ሽንቶ	መሽነት ፤ መሸን		make water	i
ሸኘ፟ 2nd ኘ፟ህ	ሸኝ፟ቷል	ይሽኝ	ይሸኛ፟ል	ይሸኝ፟	ሽኝ፟	ሽኝ፟ቶ	መሸኘ፟ት 	ሸኚ፟	escort	t
ሻገ፟ተ	ሻግቷል	ይሻግ፟ት	ይሻግ፟ታል	ይሻግት		ሻግቶ	መሻገት	ሻጋች	be mouldy	i
ሸጠ	ሺጧል	ይሽጥ	ይሸጣል	ይሺጥ	ሺጥ	ሺጦ	መሸጥ	ሻጭ	sell	t
ሸፈ፟ነ	ሸፍ፟ኗል	ይሸፍ፟ን	ይሸፍ፟ናል	ይሸፍ፟ን	ሽፍ፟ን	ሸፍ፟ኖ	መሸፈ፟ን	ሸፋ፟ኝ	wrap	t
ቀላ፟	ቀልቷል	ይቀላ	ይቀላል	ይቅላ		ቀልቶ	መቅላት	ቀይ	be red	i
ቀለ፟መ	ቀል፟ሟል	ይቀል፟ም	ይቀል፟ማል	ይቅለም	ቅለም	ቀልሞ	መቅለም	ቀላሚ	stain	t
				ይቀል፟ም	ቀል፟ም		መቀለ፟ም			
ቀለቀ፟ለ	ቀልቅሏል	ይቀለቅ፟ል	ይቀለቅ፟ላል	ይቀላቅል	ቀልቅል	ቀልቅሎ	መቀልቀል	ቀልቃይ	mix	t
ቀላቀ፟ለ	ቀላቅሏል	ይቀላቅ፟ል	ይቀላቅ፟ላል	ይቀላቅል	ቀላቅል	ቀላቅሎ	መቀላቀል	ቀላቃይ	mix	t
ቀለ፟ጠ	ቀልጧል	ይቀልጥ	ይቀልጣል	ይቅለጥ		ቀልጦ	መቅለጥ	ቀላጭ	melt	i
ቈለ፟ፈ	ቈልፏ፟ል	ይቈል፟ፍ	ይቈል፟ፋል	ይቈል፟ፍ	ቈል፟ፍ	ቈል፟ፎ	መቈለ፟ፍ	ቈላ፟ፊ	lock	t
ቀማ፟	ቀም፟ቷል	ይቀማ፟	ይቀማ፟ል	ይቀማ፟	ቀማ፟	ቀም፟ቶ	መቀማ፟ት	ቀሚ፟	rob	t
ቆመ	ቁሟል	ይቆም	ይቆማል	ይቁም	ቁም	ቁሞ	መቆም	ቋሚ	stand	i
ቀመ፟ሰ	ቀምሷል	ይቀምስ	ይቀምሳል	ይቅመስ	ቅመስ	ቀምሶ	መቅመስ	ቀማሽ	taste	t
ቀረ፟ 2nd ቀረህ	ቀርቷል	ይቀር	ይቀራል	ይቅር	ቅር	ቀርቶ	መቅረት 	ቀሪ	remain behind	i
ቀረ፟በ	ቀርቧል	ይቀርብ	ይቀርባል	ይቅረብ	ቅረብ	ቀርቦ	መቅረብ	ቀራቢ	approach	i
ቀረ፟ጠ	ቀርጧል	ይቀርጥ	ይቀርጣል	ይቅረጥ	ቅረጥ	ቀርጦ	መቅረጥ	ቀራጭ	charge dues	i
ቈረ፟ጠ	ቈርጧል	ይቈርጥ	ይቈርጣል	ይቍረጥ	ቍረጥ	ቈርጦ	መቍረጥ	ቈራጭ	cut	t
ቈሰ፟ለ	ቈስሏል	ይቈስል	ይቈስላል	ይቍሰል	ቍስል	ቈሰሎ	መቍሰል	ቈሳይ	be wounded	p
ቀሰቀ፟ሰ	ቀስቅሷል	ይቀስቅ፟ስ	ይቀሰቅ፟ሳል	ይቀስቅስ	ቀስቅስ	ቀስቅሶ	መቀስቀስ	ቀስቃሽ	rouse	t
ቀቀ፟ለ	ቀቅ፟ሏል	ይቀቅ፟ል	ይቀቅ፟ላል	ይቀቅ፟ል	ቀቅ፟ል	ቀቅ፟ሎ	መቀቀ፟ል	ቀቃ፟ይ	boil	t
ቀባ፟	ቀብቷል	ይቀባ	ይቀባል	ይቅባ	ቅባ	ቀብቶ	መቅባት	ቀባ	anoint	t
ቀበ፟ረ	ቀብሯል	ይቀብር	ይቀብራል	ይቅበር	ቅበር	ቀብሮ	መቅበር	ቀባሪ	bury	t
ቀበ፟ጠ	ቀብጧል	ይቀብጥ	ይቀብጣል	ይቅበጥ	ቅበጥ	ቀብጦ	መቅበጥ	ቀባጭ	play the fool	i
ቀና፟	ቀንቷል	ይቀና	ይቀናል	ይቅና	ቅና	ቀንቶ	መቅናት	ቀኝ	be straight	i
ቀነ፟ተ	ቀን፟ቷል	ይቀን፟ት	ይቀን፟ታል	ይቀን፟ት	ቀን፟ት	ቀን፟ቶ	መቀነ፟ት	ቀና፟ች	put girths on	t
ቈነጠ፟ጠ	ቈንጥጧል	ይቈንጥ፟ጥ	ይቈነጥ፟ጣል	ይቈንጥጥ	ቈንጥጥ	ቈንጥጦ	መቈንጠጥ	ቈንጣጭ	be cold	i
ቀዘቀ፟ዘ	ቀዝቅዟል	ይቀዘቅዝ	ይቀዘቅ፟ዛል	ይቀዝቅዝ		ቀዝቅዞ	መቀዝቀዝ	ቀዝቃዥ	be cold 	i
ቀዘ፟ነ	ቀዝኗል	ይቀዝን 	ይቀዝናል			ቀዝኖ	መቅዘን	ቀዛኝ	have diarrhoea	i
ቈየ፟ 2nd ቈየ፟ህ	ቈይ፟ቷል	ይቈይ	ይቈያ፟ል	ይቈይ	ቈይ ፤ ቈዩ፟	ቈይ፟ቶ	መቈየ፟ት		await	t
ቀዳ፟	ቀድቷል	ይቀዳ	ይቀዳል	ይቅዳ	ቅዳ	ቀድቶ	መቅዳት	ቀጅ	draw (liquids)	t
ቀደ፟መ	ቀድሟል	ይቀድም	ይቀድማል	ይቅደም	ቅደም	ቀድሞ	መቅደም	ቀዳሚ	precede	t
ቀደ፟ደ	ቀዷ፟ል	ይቀድ፟	ይቀዳ፟ል	ይቅደድ	ቅደድ	ቀዶ፟	መቅደድ	ቀዳጅ	tear	t
ቀጣ፟	ቀጥ፟ቷል	ይቀጣ	ይቀጣል	ይቅጣ	ቅጣ	ቀጥቶ፟	መቅጣት	ቀጭ	punish	t
ቀጠ፟ለ	ቀጥ፟ሏል	ይቀጥ፟ል	ይቀጥ፟ላል	ይቀጥ፟ል	ቀጥ፟ል	ቀጥ፟ሎ	መቀጠ፟ል	ቀጣ፟ይ	join	t
ቀጠ፟ረ	ቀጥሯል	ይቀጥር	ይቀጥራል	ይቅጠር	ቅጠር	ቀጥሮ	መቅጠር	ቀጣሪ	engage	t
ቈጠ፟ረ	ቈጥሯል	ይቈጥር	ይቈጥራል	ይቍጠር	ቍጠር	ቈጥሮ	መቍጠር	ቈጣሪ	count	t
ቋጠ፟ረ	ቋጥሯል	ይቋጥ፟ር	ይቋጥ፟ራል	ይቋጥር	ቋጥር	ቋጥሮ	መቋጠር	ቋጣሪ	knot	t
ቀጠቀ፟ጠ	ቀጥቅጧል	ይቀጠቅጥ	ይቀጠቅጣል	ይቀጥቅጥ	ቀጥቅጥ	ቀጥቅጦ	መቀጥቀጥ	ቀጥቃጭ	strike repeatedly	t
ቈጠ፟በ	ቈጥ፟ቧል	ይቈጥ፟ብ	ይቈጥ፟ባል	ይቈጥ፟ብ	ቈጥ፟ብ	ቈጥ፟ቦ	መቈጠ፟ብ	ቈጣ፟ቢ	save, (money etc.)	t
ቀጠ፟ነ	ቀጥኗል	ይቀጥን	ይቀጥናል	ይቅጠን		ቀጥኖ	መቅጠን	ቀጣኝ	be thin	t
ቀጠ፟ፈ	ቀጥፏል	ይቀጥፍ	ይቀጥፋል	ይቅጠፍ	ቅጠፍ	ቀጥፎ	መቅጠፍ	ቀጣፊ	cheat	t
ቈፈ፟ረ	ቈፍ፟ሯል	ይቈፍ፟ር	ይቈፍ፟ራል	ይቈፍ፟ር	ቈፍ፟ር	ቈፍ፟ሮ	መቈፈ፟ር	ቈፋ፟ሪ	dig	t
በላ፟	በልቷል	ይበላ	ይበላል	ይብላ	ብላ	በልቶ	መብላት	በይ	eat	t
በለ፟ጠ	በልጧል	ይበልጥ	ይበልጣል	ይብለጥ		በልጦ	መብለጥ	በላጭ	be more	t
በራ፟	በርቷል	ይበራ	ይበራል	ይብራ		በርቶ	መብራት	በሪ	shine	i
በረ፟ረ	በሯ፟ል	ይበር፟	ይበራ፟ል	ይብረር	ብረር	በሮ፟	መብረር	በራሪ	fly	i
በረታ፟	በርትቷል	ይበርታ፟	ይበረታ፟ል	ይበርታ	በርታ	በርትቶ	መበርታት	በርች	be strong	i
በረ፟ደ	በርዷል	ይበርድ	ይበርዳል	ይብረድ		በርዶ	መብረድ		be cold	i
በሰ፟ለ	በስሏል	ይበስል	ይበስላል	ይብሰል	ብስል	በስሎ	መብሰል	በሳይ	ripen	i
በሰበ፟ሰ	በስብሷል	ይበሰብ፟ስ	ይበሰብ፟ሳል	ይበስበስ	በስብስ	በስብሶ	መበስበስ	በስባሽ	be drenched	i
በቃ፟	በቅቷል	ይበቃ	ይበቃል	ይብቃ		በቅቶ	መብቃት	በቂ	suffice	i
በቀ፟ለ	በቅሏል	ይበቅል	ይበቅላል	ይብቀል		በቅሎ	መብቀል	በቃይ	sprout	i
በተ፟ነ	በት፟ኗል	ይበት፟ን	ይበት፟ናል	ይበት፟ን	በት፟ን	በት፟ኖ	መበተ፟ን	በታ፟ኝ	scatter	t
በዛ፟	በዝቷል	ይበዛ	ይበዛል	ይብዛ	ብዛ	በዝቶ	መብዛት	በዢ	be much	i
በደ፟ለ	በድ፟ሏል	ይበድ፟ል	ይበድ፟ላል	ይበድ፟ል	በድ፟ል	በድ፟ሎ	መበደ፟ል	በዳ፟ይ	ill-treat	t
በደ፟ነ	በድኗል	ይበድን	የበድናል			በድኖ	መበደን		be paralysed	i
በጀ፟ 2nd ጀ፟ህ	በጅ፟ቷል	ይበጅ፟	ይበጃ፟ል	ይበጅ፟		በጅ፟ቶ	መበጀ፟ት		be good	i
ተለላከ	ተለልኳል	ይለ፟ላክ	ይለ፟ላካል	ይለላክ	ተለላክ	ተለልኮ	መለ፟ላክ	ተለላኪ	be sent to and fro	p
ተለመ፟ደ	ተለምዷል	ይለ፟መድ	ይለ፟መዳል	ይለ፟መድ	ተለመድ	ተለምዶ	መለ፟መድ	ተለማጅ	be used	p
ተላሰ	ተልሷል	ይላ፟ስ	ይላ፟ሳል	ይላ፟ስ	ተላስ	ተልሶ	መላ፟ስ	ተላሽ	be licked	p
ተለቀ፟መ	ተለቅሟል	ይለ፟ቀ፟ም	ይለ፟ቀ፟ማል	ይለ፟ቀም		ተለቅሞ	መለ፟ቀም	ተለቃሚ	be picked	p
ተላቀ፟ሰ	ተላቅሷል	ይላ፟ቀ፟ስ	ይላ፟ቀ፟ሳል	ይላ፟ቀስ	ተላቀስ	ተላቅሶ	መላ፟ቀስ	ተላቃሽ	mourn publicly	i
ተለቀ፟ቀ	ተለቋ፟ል	ይለ፟ቀ፟ቅ	ይለ፟ቀ፟ቃል	ይለ፟ቀቅ	ተለቀቅ	ተለቆ፟	መለ፟ቀቅ	ተለቃ፟ቂ	be given up	p
ተለቃቀ፟መ	ተለቃቅሟል	ይ፟ለቃቀም	ይ፟ለቃቀ፟ማል	ይለ፟ቃቀም		ተለቃቅሞ	መለ፟ቃቀም	ተለቃቃሚ	be picked out	p
ተለበ፟በ	ተለብ፟ቧል	ይለ፟በ፟ብ	ይለ፟በ፟ባል	የለ፟በብ		ተለብ፟ቦ	መለ፟በብ	ተለባ፟ቢ	have a halter put on	p
ታለ፟በች	ታልባለ፟ች	ትታ፟ለ፟ብ	ትታ፟ለ፟ባለች	ትታ፟ለብ	ታለቢ	ታልባ	መታ፟ለብ	ታላቢ	be milked	p
ተለካ፟	ተለክ፟ቷል	ይለ፟ካ፟	ይለ፟ካ፟ል	ይላ፟ካ	ተለካ	ተለክ፟ቶ	መለ፟ካት	ተለኪ፟	be measured	p
ተላከ	ተልኳል	ይላ፟ክ	ይላ፟ካል	ይላ፟ክ	ተላክ	ተልኮ	መላ፟ክ	ተላኪ	be sent  	p
ተለወጠ	ተለውጧል	ይለ፟ወጥ	ይለ፟ወጣል	ይለ፟ወጥ	ተለወጥ	ተለውጦ	መለ፟ወጥ	ተለዋጭ	be changed	p
