#Amharic Name	Latin Transcription	Alternative Amharic Spelling
ህላዊ	Hellawi	
ህላዌ	Hellawé	
ህልሽት	Beleššet	
ህልውና	Hellewenna	
ህማማት	Hemamat	
ህሩይ	Heruy	
ህርጊጐ	Hergiggo	
ህቡእ	Hebu'e	
ህብረ	Hebrä	
ህብረተ ሰብ	Hebrätä-Säb	ሕብረተ ሰብ
ህብረተ ሰብአዊ	Hebrätä-Säb'äwi	ሕብረተ ሰብአዊ
ህብረተ ሰብአዊት	Hebrätä-Säb'äwit	ሕብረተ ሰብአዊት
ህብረተ ሰብአዊንት	Hebrätä-Säb'äwinnät	ሕብረተ ሰብአዊንት
ህብረተ ስብአዊነት	Hebrätä-Säb'äwinnät	ሕብረተ ስብአዊነት
ህብረት	Hebrät	ሕብረት
ህብስተ	Hebestä-	
ህብስቴ	Hebesté	
ህብስት	Hebest	
ህትመት	Hetmät	
ህንደኬ	Hendäké	
ህንጻ	Henṣa	
ህክምና	Hekmenna	
ህዋ	Hewa	
ህዋሳታዊ	Hewasatawi	
ህዋሳት	Hewasat	
ህዋስ	Hewas	
ህዝቅኤል	Hezqe'él	
ህዝቅያስ	Hezqeyas	
ህዝባዊ	Hezbawi	
ህዝባዊት	Hezbawit	
ህዝብ	Hezb	
ህያብ	Heyab	
ህይወት	Heywät	
ህደጐ	Hedägo	
ህዳር	Hedar	
ህዳግ	Heddag	
ህዳጐ	Hedago	ህዳጎ
ህድረት	Hedrät	
ህድአት	Hed'ät	
ህገ	Heggä-	
ህጋዊ	Heggawi	
ህግ	Hegg	
ህግጋት	Heggegat	
ህጸጽ	Heṣaṣ	
ህጻናት	Heṣanat	
ህጻን	Heṣan	
ህጻጽ	Heṣaṣ	
ሆሄ	Hohé	
ሆሄያት	Hohéyat	
ሆለታ	Holäta	
ሆምጣጤ	Homṭaṭé	
ሆራ	Hora	
ሆሳ	Hosa	
ሆሳእና	Hosa'ena	
ሆቴሌች	Hotéločč	
ሆቴሎች	Hotéločč	
ሆይ	Hoy	
ሆደ ባሻ	Hodä-Bašša	
ሆጃ	Hoja	
ሆጄሌ	Hojélé	
ሆጤ	Hoṭé	
ለሀጭ	Lähäč̣	
ለሆሳስ	Lähosas	
ለሆቴ	Lähoté	
ለማ	Lämma	
ለማሽ	Lämmaš	
ለማኝ	Lämmaññ	
ለሜሳ	Lämméssa	
ለሜቻ	Lämméčča	
ለምለም	Lämläm	
ለምባዳ	Lämbadda	
ለምድ	Lämd	
ለምጻም	Lämṣam	
ለምጽ	Lämṣ	
ለሳኝ	Lässañ	
ለሴ	Lässé	
ለስላሳ	Läslassa	
ለቀማ	Läqäma	
ለቅሶ	Läqso	
ለበስ	Läbbäs	
ለበቅ	Läbäq	
ለባሲ	Läbasi	
ለባዊት	Läbbawit	
ለቤ	Läbbé	
ለብላቢ	Läblabi	
ለተ	Lätä	
ለቱ	Lätu	
ለታ	Läta	
ለታይ	Lätay	
ለንቋጣ	Länqʷṭa	
ለንጨጭ	Länč̣äč̣	
ለከት	Läkkät	
ለዘብተኛ	Läzzäbtäñña	
ለዛ	Läzza	
ለይስሙላ	Lä-Yesmulla	
ለይኩን	Läyekun	
ለገሰ	Läggäsä	
ለገሰች	Läggäsäčč	
ለገደች	Läggäsäčč	
ለጊ	Läggi	
ለጋ	Läga	
ለጋስ	Läggas	
ለግላጋ	Läglagga	
ለጥ ይበሉ	Läṭṭ-Yebälu	
ለፍቶ አደር	Läfto-Äddär	
ለፍቶ አዳሪ	Läfto-Ädari	
ለፍዳዳ	Läfdadda	
ሉሉ	Lulu	
ሉሊተ	Lulit	
ሉሊቱ	Lulit	
ሉሊት	Lulit	
ሉላ	Lula	
ሉላደይ	Luladäy	
ሉላዳይ	Luladäy	
ሉሌ	Lulé	
ሉል	Lul	
ሉቦ	Lubo	
ሉካንዳ	Lukanda	
ሉክ	Luk	
ሉጫ	Luč̣č̣a	
ሊሙ	Limmu	
ሊማሊሞ	Limalimo	
ሊስትሮ	Listero	
ሊሻን	Lišan	
ሊቀ	Liqä-	
ሊቃውንት	Liqawent	
ሊቅ	Liq	
ሊባቦ	Libabo	
ሊጋባ	Ligaba	
ላሁጫ	Lahuč̣č̣a	
ላሊበላ	Lalibäla	
ላል ይበላ	Lal-Yebäla	
ላሎ	Lalo	
ላሜዳ	Laméda	
ላም	Lam	
ላም እነት	LamEnät	
ላምሮት	Lamrot	
ላምባ	Lamba	
ላምባ ዲና	LambaDina	
ላምፋ	Lamfa	
ላስቲክ	Lastik	
ላቀ	Laqä	
ላቀህ	Laqäh	
ላቀች	Laqäčč	
ላቀው	Laqäw	
ላብ አደር	Lab Äddär	
ላንቲካ	Lantika	
ላንጋኖ	Langano	
ላንፊያ	Lanfiya	
ላእላይ	La'elay	ላዕላይ
ላእከ	La'ekä	ላዕከ
ላኪ	Laki	
ላዛ	Laza	
ላይዳ	Layda	
ላዳን	Ladan	
ላጲሶ	Lap̣p̣iso	
ላፒሶ	Lappiso	
ሌማት	Lémat	
ሌባ	Léba	
ሌንጫ	Lénč̣a	
ሌዊ	Léwi	
ሌዋውያን	Léwaweyan	
ሌጣ	Léṭa	
ሌጦ	Léṭo	
ልመነው	Lemänäw	
ልመንህ	Lemäneh	
ልሙጥ	Lemuṭṭ	
ልማት	Lemat	
ልማድ	Lemad	
ልምጭ	Lemmeč̣č̣	
ልሳነ	Lessanä-	
ልሳኑ	Lessanu	
ልሳን	Lessan	
ልቃሚ	Leqqami	
ልቃቂት	Leqqaqit	
ልቅ	Leqq	
ልበ	Lebbä-	
ልቡና	Lebbuna	
ልቡናዊ	Lebbunawi	
ልባስ	Lebas	
ልባብ	Lebab	
ልባንጃ	Lebanjja	
ልባዊ	Lebbawi	
ልቤ	Lebbé	
ልብሰ ተክህኖ	Lebsä-Täkheno	
ልብስ ሰፊ	LebsSäfi	
ልብነ ድንግል	Lebnä-Dengel	
ልት	Lett	
ልትት	Lett	
ልኡል	Le'ul	ልዑል
ልኡካን	Le'ukan	ልዑካን
ልእልት	Le'elt	ልዕልት
ልእልና	Le'elenna	ልዕልና
ልኬ	Lekké	
ልክ የለሽ	Lekk-Yälläš	
ልኳንዳ	Lekʷnda	
ልዋጭ	Lewwač̣	
ልውውጥ	Lewewweṭ	
ልዝብ	Lezzeb	
ልየው	Leyäw	
ልዩ	Leyyu	
ልይህ	Leyeh	
ልደታ	Ledäta	
ልደት	Ledät	
ልጃገረድ	Lejagäräd	
ልጅ	Lej	
ልጅቱ	Lejetu	
ልጅነት	Lejennät	
ልጆች	Lejočč	
ልገሳ	Leggäsa	
ልግመኛ	Legmäñña	
ልጓም	Legʷm	
ልጣጭ	Leṭṭač̣	
ልጨኛ	Leč̣č̣äñña	
ልፈፋ	Leffäfa	
ልፊያ	Leffiya	
ልፋት	Lefat	
ልፍስፍስ	Lefesfes	
ልፍቶ አደር	Läfto-Äddär	
ሎሌ	Lolé	
ሎቲ	Lotti	
ሎጊያ	Logiya	
መሀለቅ	Mähälläq	
መሀሉ	Mähälu	
መሀላ	Mähälla	
መሀል	Mähäl	
መሀል ሜዳ	MähälMéda	
መሀል ሰፋሪ	MähälSäfari	
መሀመድ	Mähämmäd	
መሀሙዲ	Mähämmudé	
መሀሙዴ	Mähämmudé	
መሀረኝ	Mähäräññ	
መሀሪ	Mähäri	
መሀንዲስ	Mähändis	
መሀከለኛ	Mähäkkäläñña	
መሀከል	Mähäkkäl	
መሃይም	Mähayyem	
መሄኦ	Mähé'o	
መህረተ አብ	Mehrätä-Äb	
መህን	Mähn	
መሆዶ	Mähodo	
መለሎ	Mälälo	
መለሰ	Mälläsä	
መለሰች	Mälläsäčč	
መለሱ	Mälläsu	
መለስ	Mälläs	
መለስተኛ	Mällästäñña	
መለከት	Mäläkät	
መለኪያ	Mäläkkiya	
መለኮታዊ	Mäläkotawi	
መለኮታዊነት	Mäläkotawinnät	
መለኮታውያን	Mäläkotaweyan	
መለኮት	Mäläkot	
መለዋወጫ	Mäläwawäč̣a	
መለያ	Mälläya	
መለዮ	Mälläyyo	
መላ ምት	MälaMet	
መላሂ	Mälahi	
መላላጫ	Mällalač̣a	
መላሰኛ	Mälasäñña	
መላተ ወርቅ	Mäla-Ṭa-Wärq	
መላእክት	Mäla'ekt	
መላኩ	Mälaku	
መላክ ሰገድ	MälakSäggäd	
መላክ ነሽ	MälakNäš	
መላጊያ	Mälagiya	
መላጣ	Mälaṭa	
መልህቅ	Mälheq	
መልአከ	Mäl'äkä-	
መልአክ	Mäle'äk	
መልእል	Mäle'el	
መልእክተኛ	Mäle'ektäñña	
መልእክት	Mäle'ekt	
መልከ	Mälkä-	
መልከ ጼዴቅ	Mälkä-Ṣédéq	
መልከኛ	Mälkäñña	
መልከአ ምድር	Mälk'äMeder	
መልካ	Mälka	
መልካ ቦሎ	MälkaBollo	
መልካሙ	Mälkamu	
መልካሜ	Mälkamé	
መልካም	Mälkam	
መልካም ነሽ	MälkamNäš	
መልካሟ	Mälkamʷ	
መልካረፉ	Mälkaräru	
መልካሰዲ	Mälkasädi	
መልካሳ	Mälkasa	
መልኬ	Mälké	
መልክ	Mälk	
መልክአ ምድር	Mälke'äMeder	
መሎቲ	Mälotti	
መመህራን	Mämheran	
መመሪያ	Mämmäriya	
መመኪያ	Mämmäkiya	
መመዘኛ	Mämäzzäñña	
መመዝገቢያ	Mämäzgäbiya	
መመደቢያ	Mämäddäbiya	
መማክርት	Mämakert	
መምህራን	Mämheran	
መምህር	Mämher	
መምሪያ	Mämriya	
መምቻ	Mämča	
መረሬ	Märäré	
መረርቱ	Märärtu	
መረቅ	Märäq	
መረባ	Märäbba	
መረብ	Märäb	
መረን	Märän	
መረዋ	Märäwwa	
መረጃ	Märräja	
መረግድ	Märägd	
መሪ	Märi	
መራ	Märra	
መራሄ	Märahé	
መራራ	Märara	
መራቤቴ	Märrabété	
መራዊ	Märawi	
መራው	Märraw	
መራጃ	Märraja	
መሬት	Märét	
መርሃ	Märha-	
መርህ	Märh	
መርሆ	Märho	
መርሞሌ	Bärmolé	
መርሲ	Märsé	
መርሳ	Märsa	
መርሴ	Märsé	
መርስኤ	Märse'é	
መርሶ	Märso	
መርሻ	Märša	
መርቆሬዎስ	Märqoréwos	
መርቆርዮስ	Märqoreyos	
መርኔ	Märrené	
መርአዊ	Mär'äwi	መርዓዊ
መርእድ	Mär'ed	መርዕድ
መርከበኛ	Märkäbäñña	
መርከብ	Märkäb	
መርከቦች	Märkäbočč	
መርዘኛ	Märzäñña	
መርዝ	März	
መርዳሳ	Märdasa	
መርዶ	Märdo	
መርዶፋ	Märdofa	
መርገጫ	Märgäč̣a	
መርገፍ	Märgäf	
መርጊያ	Märgiya	
መርጋ	Märga	
መርግ	Märg	
መርጡለ	Märtulä-	
መርጡለ ማርያም	Märṭulä-Maryam	
መርፌ	Märfé	
መሮ	Märo	
መሰለ	Mässäl	
መሰለች	Mässäläčč	
መሰሉ	Mässälu	
መሰላል	Mäsälal	
መሰል	Mässäl	
መሰረተ	Mäsärätä-	
መሰረታዊ	Mäsärätawi	
መሰረት	Mäsärät	
መሰሪ	Mäsärri	
መሰርሰሪያ	Mäsärsäriya	
መሰቅሰቂያ	Mäsäqsäqiya	
መሰብሰቢያ	Mässäbsäbiya	
መሰናክል	Mäsänakel	
መሰናዶ	Mässänado	
መሰንቆ	Mäsänqo	
መሰዊያ	Mäsäwwiya	
መሱድ	Mäsud	
መሲህ	Mäsih	
መሳሪያ	Mässariya	
መሳይ	Mäsay	
መሳደኛ	Mäsaddäñña	
መሳፍቻ	Mässafečča	
መሳፍንታዊ	Mäsafentawi	
መሳፍንት	Mäsafent	
መስል	Mässäl	
መስመር	Mäsmär	
መስሪ	Mäsärri	
መስሪያ	Mäsriya	
መስራች	Mäsrač	
መስቀሌ	Mäsqälé	
መስቀል	Mäsqäl	
መስቀያ	Mäsqäya	
መስቃ	Mäsqa	
መስተንግዶ	Mästängedo	
መስተዋት	Mästäwat	
መስተዋድድ	Mästäwaded	
መስተጻምር	Mästäṣamer	
መስኖ	Mäsno	
መስከረም	Mäskäräm	
መስክ	Mäsk	
መስዋእት	Mäswa'et	
መስጊድ	Mäsgid	
መስፈሪያ	Mäsfäriya	
መስፊያ	Mäsfiya	
መስፍነ	Mäsfenä-	
መስፍን	Mäsfen	
መስፍያ	Mäsfiya	
መሶበ	Mäsobä	
መሶብ	Mäsob	
መሸሻ	Mäšäša	
መሸተኛ	Mäšätäñña	
መሸታ	Mäšäta	
መሸጋገሪያ	Mäššägagäriya	
መሽከርከሪያ	Mäškärkäriya	
መሿለኪያ	Mäššʷläkiya	
መቀሌ	Mäqälé	
መቀመቅ	Mäqämäq	
መቀመጫ	Mäqqämäč̣a	
መቀራቅርት	Mäqäraqert	
መቀበያ	Mäqqäbäya	
መቀናጆ	Mäqqänajo	
መቀንጠቢያ	Mäqäntäbiya	
መቀጣጫ	Mäqqäṭač̣a	
መቀጫ	Mäqqäč̣a	
መቁረርት	Mäqurärt	
መቁረጫ	Mäquräč̣a	
መቁነን	Mäqunän	
መቁጠሪያ	Mäquṭäriya	
መቂ	Mäqi	
መቂናት	Mäqinat	
መቂናጥ	Mäqinat	
መቃ	Mäqa	
መቃ ልቅም	MäqaLeqem	
መቃርዮስ	Mäqareyos	
መቃብር	Mäqaber	
መቃን	Mäqan	
መቃጥን	Mäqaṭen	
መቅመቆ	Mäqmäqqo	
መቅረዝ	Mäqräz	
መቅረጅ	Mäqräj	
መቅሰፍት	Mäqsäft	
መቅን	Mäqen	
መቅዘፊያ	Mäqzäfiya	
መቅደሴ	Mäqdäsé	
መቅደስ	Mäqdäs	
መቅድም	Mäqdem	
መቆሚያ	Mäqomiya	
መቆሚያ  	Mäqomiya	
መቆስቆሻ	Mäqosqoša	
መቆናቁን	Mäqonaqun	
መቆንጠጫ	Mäqonṭäča	
መቆያ	Mäqoyya	
መቆጣጠሪያ	Mäqqoṭaṭäriya	
መቆፈሪያ	Mäqoffäriya	
መቋቋሚያ	Mäqqʷqʷmiya	
መቋደሻ	Mäqqʷdäša	
መበለት	Mäbällät	
መባለግ	Mäbaläg	
መባቻ	Mäbača	
መብረቅ	Mäbräq	
መብራህቱ	Mäbrahetu	
መብራቱ	Mäbratu	
መብራቴ	Mäbraté	
መብራት	Mäbrat	
መብርሃቱ	Mäbrahetu	
መብት	Mäbet	
መብኣ	Mäb'a	
መተሀራ	Mätähära	
መተላለፊያ	Mättälaläfiya	
መተመኛ	Mätämmäñña	
መተማመኛ	Mättämamäñña	
መተርኮሻ	Mätärkoša	
መተተኛ	Mätätäñña	
መተት	Mätät	
መተከል	Mätäkkäl	
መተያያ	Mättäyaya	
መተዳደሪያ	Mättädadäriya	
መቱ	Mättu	
መታረሪያ	Mättaräriya	
መታሰቢያ	Mättasäbiya	
መታጠቢያ	Mättaṭäbiya	
መታጠፊያ	Mättaṭäfiya	
መታፈሪያ	Mättafäriya	
መት	Mät	
መትረየስ	Mäträyyäs	
መቶ	Mäto	
መቸንከሪያ	Mäčänkäriya	
መቻል	Mäčal	
መቻራ	Mäččara	
መቻሬ	Mäččaré	
መነሻ	Männäša	
መነሾ	Männäšo	
መነን	Mänän	
መነኩሴ	Mänäkusé	
መነኮሳት	Mänäkosat	
መነጋገሪያ	Männägagäriya	
መነጽር	Mänäṣṣer	
መና	Männa	
መናብ	Mänab	
መናገሻ	Männagäša	
መናፈሻ	Männafäša	
መናፍስት	Mänafest	
መናፍቅ	Mänafeq	
መን	Män	
መንሱር	Mänsur	
መንሽ	Mänš	
መንቀል	Mänqäl	
መንቀሳቀሻ	Mänqäsaqäša	
መንበረ	Mänbärä-	
መንበር	Mänbär	
መንታ	Mänta	
መንትያ	Mänteyya	
መንእስ	Män'es	
መንክር	Mänker	
መንክሮስ	Mänkeros	
መንኮራኩር	Mänkorakur	
መንደረተኛ	Mändärätäñña	
መንደረታኛ	Mändärätäñña	
መንደረኛ	Mändäräñña	
መንደሪን	Mändärin	
መንደር	Mändär	
መንደርደሪያ	Mändärdäriya	
መንደሮች	Mändäročč	
መንደፈራ	Mändäfära	
መንዲ	Mändi	
መንዲል	Mändil	
መንዲስ	Mändis	
መንዲዳ	Mändidda	
መንገሻ	Mängäša	
መንገደኛ	Mängädäñña	
መንገድ	Mängäd	
መንጋ	Mänga	
መንጋጋ	Mängaga	
መንግስተ	Mängestä-	
መንግስቱ	Mängestu	
መንግስታት	Mängestat	
መንግስታዊ	Mängestawi	
መንግስቴ	Mängesté	
መንግስት	Mängest	
መንጐል	Mängol	
መንጠቆ	Mänṭäqqo	
መንጦላእት	Mänṭola'et	
መንፈሳዊ	Mänfäsawi	
መንፈስ	Mänfäs	
መንፈቅ	Mänfäq	
መንፈያ	Mänfiya	
መንፊያ	Mänfiya	
መኖ	Männo	
መኖሪያ	Männoriya	
መአሾ	Mä'äšo	
መኣተኛ	Mä'atäñña	መዓተኛ
መኣት	Mä'at	መዓት
መኣዊ	Mä'awi	መአዊ
መኣዛ	Mä'aza	መዓዛ
መኣዛሽ	Mä'azaš	መዓዛሽ
መከላከያ	Mäkkälakäya	
መከር	Mäk̃är	
መከታ	Mäkäta	
መከት	Mäkket	
መከኮታዊነት	Mäläkotawinnät	
መከዳ	Mäkkädda	
መኩሪያ	Mäkuriya	
መካ	Mäkka	
መካለያ	Mäkkaläya	
መካሻ	Mäkaša	
መካነ	Mäkanä-	
መካከለኛ	Mäkakkäläñña	
መካከል	Mäkakkäl	
መክሊት	Mäklit	
መክረጅ	Mäkräj	
መክሰስ	Mäksäs	
መክብብ	Mäkbeb	
መክት	Mäkket	
መክፈቻ	Mäkfäča	
መክፈያ	Mäkfäya	
መኮንን	Mäkonnen	
መኮንኖች	Mäkonnenočč	
መኳስ	Mäkʷs	
መኳንንታዊ	Mäkʷnentawi	
መኳንንት	Mäkʷnent	
መኸር	Mäk̃är	
መወርወሪያ	Mäwärwäriya	
መወጠሪያ	Mäwäṭṭäriya	
መዋስእት	Mäwas'et	
መዋቅር	Mäwaqer	
መዋእለ	Mäwa'elä-	
መዋጥ	Mäwaṭ	
መዋጮ	Mäwwač̣o	
መውለጃ	Mäweäja	
መውሊድ	Mäwlid	
መውረጃ	Mäwräja	
መውዜር	Mäwzér	
መውጪያ	Mäwč̣iya	
መዘምር	Mäzämmer	
መዘራዘር	Mäzärazer	
መዘንግእ	Mäzänge'e	
መዘክር	Mäzäkker	
መዘውር	Mäzäwwer	
መዘዞ	Mäzäzo	
መዛግብት	Mäzagebt	
መዝለቂያ	Mäzläqiya	
መዝሙረ	Mäzmurä-	
መዝሙር	Mäzmur	
መዝራእተ	Mäzra'etä-	
መዝናኛ	Mäznañña	
መዝገበ	Mäzgäbä-	
መዝገብ	Mäzgäb	
መዝገቦች	Mäzgäbočč	
መዝጊያ	Mäzgiya	
መዥገር	Mäz̃gär	
መይረማ	Mäyräma	
መደለያ	Mädälläya	
መደምደሚያ	Mädämdämiya	
መደረቢያ	Mädärräbiya	
መደርደሪያ	Mädärdäriya	
መደበኛ	Mädäbäñña	
መደብ	Mädäb	
መደብል	Mädäbbel	
መደብር	Mädäbber	
መደዳ	Mädäda	
መደጐሚያ	Mädäggomiya	
መዲና	Mädina	
መዳቢ	Mäddabi	
መዳብ	Mädab	
መዳፍ	Mädaf	
መድሃኒ ኣለም	Mädhani-Aläm	መድሃኒ አለም
መድሃኒት	Mädhanit	
መድሃኔ	Mädhané	
መድህኔ	Mädhné	
መድህን	Mädhen	
መድልወ	Mädlewä	
መድምም	Mädmem	
መድረክ	Mädräk	
መድበል	Mädbäl	
መድን	Mäden	
መድፈሪያሽ	Mädfäriyaš	
መድፈኛ	Mädfäñña	
መድፋኛ	Mädfäñña	
መድፍ	Mädf	
መዶሻ	Mädoša	
መጀመሪያ	Mäjämmäriya	
መጅ	Mäj	
መጅሊስ	Mäjlis	
መጅመሪያ	Mäjämmäriya	
መገለገያ	Mäggälgäya	
መገል	Mägel	
መገልገያ	Mäggälgäya	
መገርሳ	Mägärsa	
መገሮ	Mägäro	
መገናኛ	Mäggänañña	
መገንታ	Mägänta	
መገዘዝ	Mägäzäz	
መገድገጃ	Mägädgäja	
መጋላ	Mägala	
መጋል	Mägal	
መጋረጃ	Mäggaräja	
መጋቢ	Mäggabi	
መጋቢት	Mäggabit	
መጋኛ	Mäggañña	
መጋዞ	Mäggazo	
መግለጫ	Mägläč̣a	
መግል	Mägel	
መግቢያ	Mägbiya	
መግደላዊት	Mägdälawit	
መጐናጸፊያ	Mäggonaṣäfiya	
መጓጓዝ	Mäggʷgʷz̃a	
መጓጓዣ	Mäggʷgʷz̃a	
መጠሪያ	Mäṭṭäriya	
መጠቅለያ	Mäṭäqläya	
መጠን	Mäṭän	
መጠየቂያ	Mäṭäyyäqiya	
መጠየቅ	Mäṭäyyeq	
መጠይቅ	Mäṭäyyeq	
መጠጊያ	Mäṭṭägiya	
መጠጥ	Mäṭäṭṭ	
መጢቃ	Mäṭiqa	
መጣምር	Mäṭamer	
መጣጣ	Mäṭaṭa	
መጣፈጥ	Mäṭafäṭ	
መጤ	Mäṭṭé	
መጥረቢያ	Mäṭräbiya	
መጥረጊያ	Mäṭrägiya	
መጥሪያ	Mäṭriya	
መጥቅእ	Mäṭqe'e	
መጨኔ	Mäč̣äné	
መጨጊያ	Mäč̣č̣ägiya	
መጨጊያሽ	Mäč̣č̣ägiyaš	
መጫሚያ	Mäč̣č̣amiya	
መጫኛ	Mäč̣añña	
መጫጫት	Mäč̣ač̣at	
መጭ	Mäč̣	
መጸዳጃ	Mäṣṣädaja	
መጻህፍት	Mäṣaheft	
መጻጉእ	Mäṣagu'e	
መጽሀፈ	Mäṣehäfä-	
መጽሀፍ	Mäṣehäf	
መጽሄት	Mäṣehét	
መፈልፈያ	Mäffälfäya	
መፈንቀለ	Mäfänqelä-	
መፈንቅለ	Mäfänqelä-	
መፈክር	Mäfäkker	
መፋቂያ	Mäfaqiya	
መፍትሄ	Mäftehé	
መፍቻ	Mäfča	
ሙሄ	Muhé	
ሙህ የዲን	Muhyäddin	
ሙህየዲን	Muhyäddin	
ሙለታ	Muläta	
ሙሉ	Mulu	
ሙሉ ነህ	MuluNäh	
ሙሉ ነሽ	MuluNäš	
ሙላቱ	Mulatu	
ሙላት	Mulat	
ሙላቷ	Mulatʷ	
ሙላጭ	Mullač̣	
ሙልሙል	Mulmul	
ሙሜ	Mummé	
ሙሪ	Muri	
ሙሬ	Muré	
ሙሰንባይ	Musänbay	
ሙሰይድ	Musäyyed	
ሙሳ	Musa	
ሙሴ	Musé	
ሙሴላ	Musélla	
ሙስሊህ	Muslih	
ሙስላህ	Muslah	
ሙስባሀ	Musbahä	
ሙስና	Musenna	
ሙስጠፋ	Musṭäfa	
ሙሻዘር	Mušazär	
ሙሽራ	Mušerra	
ሙሾ	Mušo	
ሙቃ	Muqa	
ሙቅቢል	Muqbil	
ሙባረክ	Mubaräk	
ሙታን	Mutan	
