# ITALIANO	OROMO	OROMO-Ethiopic	AMARICO	AMARICO-Ethiopic	TIGRINO	TIGRINO-Ethiopic	FRANCESE	ARABO A.O - Egitto - Asia - Libia - Africa sett.
abbaiare	óuttu 		tciohà	ጮኸ	neqqewè	ነቂሁ	aboyer	nabach - mabach
aglio	kolubi hadi	ቀልቡ ሂዲ	necc-scenqurt	ነጭ ሽንኩርት	tseda-scengurty	ፅእዳ ሱጉርቲ	ail	tôm - gizûz
agnello	muccià - olà		begh	መላዕክ	limà		agneau	kharûf - krûf
ago	lilmò	ሊልሞ	merfiè	መርፌ	merfà	መርፌ	aiguille	ibra -ibrä
agosto	adolèsa	አይሌሳ	nahasi, nehasiè	ነሐሴ	nehasè	ነሃሴ	août	ab - agôstos
agricolo	dida		maledà	ግብርና	harest 		rural	barrii - sämä
agricoltore	kottù	ቆቱ	gheber	እርሻ	harestày	ሃረስታይ	agriculteur	fellâh, fallâhh - fälläh
aiutare	gargaru	ገርገሩ	arasc	አራሽ	hagazè	ሀገዥ	aider	sâhâd, hama - täkkä
ala	kociò		agazè	አገዘ (መርዳት)	chenfì		aile	genâha - genâh
alba	uretà		kenf	ክንፍ	wegahtà	ወጋህታ	aube	fajr, fegr - feger
albeggiare	adumbàti		wugagàn	ውጋገን	wegahetà		se faire jour	surûq as sems
albergatore 	dibanta		mescetegnà	መሸተኛ (የሆቴል ባለቤት)	beàl bièt		aubergiste	khamûrgi lôkandagî - döf
albergo	baccà bullùf		mescetegnà bièt	መሸተኛ ቤት	lukànda	ሉኳንዳ	hôtel	lucânda, kammâra - logânda
albero	mukà	ሙካ	zaf	ዛፍ	om	ኦም	arbre	sagâra, sciâgiara - sîgera
allargare 	ballu		asàffi	አስፊ (ማስፋት)	aghefhè		èlargir	ârrad, massâ - wâssah
all'armi!	lulù-iuf		telat cherb	(አላርም)	edè manaduch		alarme	hhajêt
alleanza	miciuma		weul	ውል	wuelì	ውሊ	alliance	attehâd, ettefâk - mehhabba
allessare	affielu	አቂሉ	qeqelè	ቀቀለ	qeqelè	ቀቂሉ	faie bouillir	qâla, salâq - grelä
allevare	gùddisu		ttettè	(ማርባት)	ttettè		èlever	ardaà, rabbà - râbbä
alluvione 	bara guollò		boqq	ጎርፍ	meseembabà		alluvion	assâfa, tufân - sèl
aloe	inadhà		herièt	በትንሹ	erì, erò		aloès	hûd - daâr
altercare 	amiasiku		tetallà	ተጣላ	megguetè	ምጉታት	se quereller	daâ, khasam - thârak
alto	dera		resgeum	ረጅም	nawih	ነዊህ	haut	aâli, hâlî - häli
alto là	kuobi		qumù	ቁም	qumù	ኪሁም	halte-là	hand, uâghef - has. ûghόd 
altopiano	derìnu		miedà	(ተራራማ ቦታ)	degueà		plateau	kôm, giabâl - hèlua
altro	birà		lielà	ሌላ	calè	ካህሊ	autre	akher, gheîr, tâni - âkar, äkar
altura	derinu		qqymèt	(ከፍታ ቦታ)	berrih		hauteur	âcama, tall - hargûb
alzarsi	igiagiù	ኢጃዳኢ	neqè	ነቃ (መነሳት)	neqè	ነኪሁ	se lever	qâm min, rafaâ - nâdd
amare	giallaciù	ጂለቱ	weddedè	(መውደድ)	fetewè	ፈትው	aimer	habb - hhabb
amarico	amara 	አማሪፋ	amharegna	አማርኛ	amarigna	አማሪኛ	ethiopien	hhabâsi
ambasciatore	lamy		af-negus	አፈ-ንጉስ(አምባሳደር)	af-negus	አፈ-ንጉስ	ambassadeur	nâib, safir
ambizioso	kortùda		aregraghi	አረግራጊ	temeneyè		ambitieux	mâil - tammâh
amicizia	miciuma	ሚቹማ	wedagennèt	ወዳጁነት	maèl, feqqre	ፈቂሪ	amitiè	sûhba, sohba - mehhâbbä
amico	miciù	ሚቹ	wedàg	ወዳጅ	fetawì, archì		ami 	dshêb, sâhhib - sâhheb
ammalato	dukubà	ዱካባ	dewey	ድውይ	hemùm		malade	âaia, mârid, sâcam - mryd
amore	giallata	ጀለሌ	wedd 	ውድ (ፍቅር)	wedd	ወደዱ	amour	mahabba, hubb - mehhâbbä
amuleto	hirzì		keutàb	ክታብ	chetàb	ከተባ	amulette	ùndà, hegiab, hhîrz - hîrz
ancòra	lamù, ammà	ለሙ	gheun	(እንደገና)	gheuà, zaghìt		encore	camân, lissâ - gahad, lissa
andare	demu	ዴሙ	hayàg	ሂያጅ(እንሂድ)	chedè	ኪድ	aller	gidîb, râhh, sar - msê
anello	amarti	አመርቲ	qeulavèt	ቀለበት	qqalebièt	ቀለበቲ	anneau	khâtem - kûsa
angelo	erga	ኤርጋ	melàk	መላእክ	melàkh	መልከሃ	ange	malâk - mlêike
anima	afura	አፉራ	nefs	ነፍስ	nefsì	ነፍሲ	âme	nefs - nafs
animale	horì	ሆራ	eunseussà	እንስሳ	eunseussa	አንሰሳ	animal	hayawan, haiuân - hêise
annegare	uddamu		sattami	ሰጠመ	settemè	ሰጢሙ	noyer	gâragh, gârraq - grèg
anno	oggà	ሰጋ	amet	አመት	aamet	አመት	année	sana, basîta - hâm
annuncio	dignina		weriè	ወሬ (ማስታወቂያ)	werè	ወሬ	avis, annonce	khâbar - besâra
antico	durè		ellachi	እላቂ (አሮጌ)	belùi		antique	cadîm - gdîm
antilope	worabbò		yemiedà - fièl	የሜዳ ፍየል	agazèn	አጋዘን	antilope	gazâl - huzäl
antimonio	kuli	ኪሉ	kual, rossàs		kluohly		antimoine	khûl
antro	holkà	ሆልቆ	wascià		beattì		antre	magâra - mukkâra, kirän
antropofago	bulgù		ceràqq, buda		belae - seb		cannibale	motauerisc - gul
ape	kannisa	ኪኒሳ	neb	ንብ	neebì	ነብሂ	abeille	scin - nâhhla
apostolo	wodù		hawarià	ሃዋርያ	hawarià	ሃዋሪያ	apôtre	rasul, moâllem
apparire	mullatu	ሙለቱ	tayè	ታየ	wetsè		apparaître	uâsal, ban - bên
appassire	dullomu		attewelleghè	(መታየት)	anetè		fìètrir	sciâkh - ibîs
appello	wamìccia		tteryt	(መጠውለግ)	tsewèt		appel	nâda, ualîma - nädha
apprestare	ghodhù	ጎዱ	assenaddà	አሰናዳ(ማድረግ)	addalewè	አድለው	apprêter	estaâd, hâddar - där
aprile	afurafà bati		miazyà	ሚያዝያ	miazyà	ሚያዝያ	avril	nisân - abrîl
aprire	bansisu	በጉ	cheffetè	 (መክፈት)	chefetè	ከፊቱ	ouvrir	fatahh - hhâll
a quale ora?	cam sàhti?		lamen seàt?	(በስንት ሰዓት)	bechendey seat?	በክንድይ	à quelle heure?	âni saâ?, âni saha? - âma saha?
aquila	allàti	አለቲ	amorà	አሞራ	nesrì	ነስሪ	aigle	hagâb - hagâb
aranci	lomiôta		becherè - lomiòc 	(ብርቱካን)	beqhuiri - lemìn		oranges	bortuqânat - burgdân
arare	kôtu		arresè	አረሰ (ማረስ)	haresè	ሃራሳይ	labourer	harat - hhrât
arco	gobò		qqest	ቀስት (አርክ)	qqestì	ቀስት	arc	qôs - gôs
argenteria	birrì	ብራ	ber	ብር (የብር ማስቀመጫ)	reitò brùr		argenterie	sceiûn, faddiyât - hhuâiz
argento	berrì		ber	ብር 	brùr	በር	argent 	fadda - fisrä
argilla	supè	ሱጲ	cceqqà	ጭቃ	merièt		argile	torâb, tin, tafl - tyn
aria	aièr		ayàr	አየር	ayèr	አየር	air	haua, hawâ - huâ
armento	olè		mengà	መንጋ	mefèr, megaryà		troupeau	neâm, mauâsci - sâhi
armi	mià-lola	ሚያ-ሎላ	yettor-messaryà	የጦር መሳሪያ	messareryà	መሳሪያ	armes	selâhum - slähh
arrivare	dùfu, dàku		dàrrese	ደረሰ	betshè		arriver	wassâl, usâl, uîsit - usûl
arrostire	vaddu	ዋዱ	tebbesè	መጥበስ	ttebesè	ጥብሱ	rôtir	sciawa, giahhâm, hammâc - glä
arrosto	vaddì	ዋዴ	tèbbes	ጠበሰ	ttebsì	ጠቢሱ	rôti 	kabab, maxûy - kbäb
arte	arbì	አረቤ	tèbab	ጥበብ	ttebèb	ጥበቢ	art	sanâa - senâhä
artiere	belbella		serrategnà	ሰራተኛ	ttebebeynà		artisan 	saneê, sanâhy - kaddêm
ascia	kottò	ቆቱ	fas	ፋስ	mahetsè		hache	farraâ, fâs - fâs
asciugatoio	atày		marèm	(ማድረቂያ)	mearremyà		essuie-main	fûta, mahrama - fûta
ascoltare	dagau	ድገኡ	semmà	ሰማ (ማዳመጥ)	semhhè	ሰሚሃ	ècouter	samâa, simih - smâh
asino	arrì	ሃሬ	ahyà	አህያ	adghì	አድጊ	âne	hômar, hhomâr - hmar
aspettare	aàfu, àfu		tebbeqqè	ጠበቀ (መጠበቅ)	tsenhè	ፅናሀኒ	attendre	istannâ - stänna
assaggiare	lèggisu		qemsò-attattamè	ቀምሶ አጣጣመ	tteamè	ጣአም	tâter, goûter	giârrab, dâq - dâg
assediare	katàma		chebbedè	ከበደ	chebebè	ከቢቡ	assiéger	hzä - hhâser
assente	fagò		qeurv	ቀረ	nawih	ነዊ	absent	gâieb, gâb - kräib
asserire	himu		newalè	ነዋለ	ewebelè		affirmer	âsbat, akkâd - äkked
assicurare	akibesù		asregghettè	አስረገጠ (አረጋገጠ)	aregghetsè		assurer	ammînhâla - âccad
attaccare	hidu	ሂዱ	asserè	(መግጠም - ግብ ግብ)	aserè		attacher	câllad, râbat - râbbat
attendamento	cubau		sefèr		sefèr		campement	khemaîn, manzal - biût
attento	denkukù		tegùh	(ተጠንቀቅ)	ttenqqùqh		attentif	ahhcam, ahhcam, nuntibîh - bäl
attivo	kan sardàmu		serrategnà	ሰራተኛ (ፈጣን፣ንቁ)	serhay		actif	sciaghil, nasît - snût
aurora	barì	በራ	negàt	ንጋት	wegahetà	ወጋህታ	aurore	fajr fegr - feser
autista	autoabbakarà		autoseù	(ሹፌር)	autosèb		chauffeur	kabir trumubîl - dlil trumubîl
autocarro	autofuciù		autosereghellà	(ከባድ መኪና)	autoserghellà		camion	trumbîl budahâ - trumubîl bdâha
autunno	arfasà	አረፋሳ	zemenè - belgh	ዘመነ በልግ (በልግ)	qqewì	ቆህ	automne	kharîf - karîf
avanti	durà	ዱራ	qaddam	ቀዳም (ወደፊት)	qqedmì	ቀዳም	avant	gabe, quddam - gubâla
avant' iari	dengadda		telantfit		ttemaly	ትማሊ	avant-hier	aw embareh - gall ems
avanzare	fuldurà		aqqerrebè	አቀረበ (መትረፍ)	qqeddemè	ቀዲሙ	avancer	qablà, lâhak - grâb, zauwùd
avaro	doghnà		nefegh	ንፉግ	neufegh	ነፈጉ	avare	bakhil, bihîl - bkîl
avere	kàbu		allè	አለ	allò	አሎ	avoir	amtâlak - kän, hând
avete	isini kabu		alaccihu	አላችሁ	allokhùm	አለኩም	vous avez	hand kum
avorio	dagagà		seunnì - harmàs	(የዝሆን ጥርስ)	sennì - harmàz		ivoire	sen fil, hag - senn elfil, häz
avversario	halu, fuldùr		wederegnà	ወደረኛ	tselaì		adversaire	âadu, modâd - hadû
avvicinarsi	addiaciù		aqqerrebè	አቀረበ 	qqerebè	ቀሪቡ	s'approcher	garrâb - grâb
avvoltoio	rumicià		ttembomorà	ጥንብ አንሳ	ghembi-amora		vautour	hedajä - hagâb
azza	bdè		tuor		girbil		hache d'armes	mizrâg, hharbe
azzimo	kittà		lelà ersciò		inudai		azyme	gher khamîr - ftyra
babbeo	duba		zolà	ዞላ	guedelò		sot	balîd, âhhal - gresîm
baccelli	rafu		atakeltocc	አታክልቶች	atteràt		gousses	baela, lûbjä
bacchetta	olè		zengh	ዘንግ	zenghì	ዘንጊ	baguette	samrûh, âssaia - hud
bagaglio	mèscia		teubtàb, nuàz	ሻንጣ	gheàz, tebtàby		bagage	aâfesc - hâfs
bagascia	gummiti		galamotà	ጋለሞታ	galemotà	ጋለሞታ	prostituée	sciarmûta, cahba - fâhescia
bagliore	ifa	ኢፋ	ghiett	(ብልጭ ድርግም)	netsebraq	ነፀብራቅ	lueur	scoâsciâ, dau - dôu
bagnare	ciùpu	ጩጶ	nakari	ነካሪ (ማርጠብ)	ttelqeyè		mouiller	heammâm, ball
bagno	rerit		mankary	መንከሪያ (ባኞ)	manhkary	መንከሪ	bain	bammâm - bânju
balcone	kawa		mescuot	መስኮት (ቴራስ)	meskòt	መስኮት	balcon	sciobbâk - sîddä
balia	niti sòrru	ኒቴ ሶሩ	moghsit	ሞግዚት	moghsìt	ሞገዚት	nourrice	mordaâ - mraddha
ballare	sirbu	ሲረቡ	tezeffenè	ተዘፈነ ( መደነስ)	saeseè	ሰስ	danser	raqâs - rgas
bambino	daimà	ዳኢማ	tceqlà	ጨቅላ (ልጅ)	hetsau		enfant	tefl, tîfl - dnä, shîr
bandiera	alamà	አልማ	sendecalamà	ሰንደቃላማ	sendeqhelamà	ሰንደቃላማ	drapeau	beyrêk - sinzîg
banditore	dubì kanodèssu		awagy - negary	አዋጊ - ነጋሪ	awagy	አዋጊ	crieur public	dallâl - bärräh
bando	abòmi		awwàg	አዋጋ	awwàg	አዋጋ	édit	farmân - hkumä
baracca	godò		giantla	(የፈራረስ)	giantla		baraque	khessâ, khêma - barâgä
barba	arèda	ኤሬዳ	tim	ጺም	ccehemì, tcehmy		barbe	lâhia, daghn - lahhjä
barbiere	gabàrtu arèda		laccetà	ጸጉር ቆራጭ	laccettà		barbier	hallâgh, mezayyîn - hassän
barca	biderù	ቢድር	tancuà	ታንኳ	gelbà		barque	felûca - flûka
barcaiolo	namabiderù	ነፎቢዱር	tancuegna	(መርከበኛ)	gelbat		batelier	hahri, marâkbi - fläiki
barracano	wajà hadì	ዋጃ ሃዲ	sciamma		sciamma	ሰማ	manteau, bournous	barnûs - zerd
basso	gabàda	ገባዲ	zek	(አጭር)	hatsìr		bas	uâti, tahtâni - uäti
bassopiano	bacchè		quellà, uàdi	(ሜዳ)	methàt		dépression	uâti sâhla - mûngah
basta	gâe, gâu	ገሄ	ybeqal	ይበቃል	yakhel	የአከለኒ	ça suffit	cafa, halâs - sadd
bastardo	dicala	ዲቃላ	wullag	ውላጅ (ዲቃላ)	deqalà		bâtard	ualad, nagl
bastimento	merkàba	መርከብ	merchèb	መርከብ	merchèb	መረከብ	navire	marcb, safîma - markîb
basto	feisa kambatu		dawlà, koraccia	ዳውላ	koraccia		bât 	bardaâ - bârdha
bastone	olè	ኡሌ	battir	በትር(ዱላ)	betrì	በትሪ	bâton	âssaia - hasat
battaglia	dula	ዱላ	weughyà	ውጊያ (መዋጋት)	wugghè		bataille	harb, mohâraba - trad
battere	alèlu		matta	መታ	haremè		battre	darab - drabk, ôdrob
bello	barèdu	በሬዳ	wub, uev	ውብ	tsebbùqh		beau	giamîl, kuwayyîs - zmil
belva	binensa	ቢኔንሳ	awriè, arawit	አውሬ፣ አራዊት	arawit		bête féroce	wakhse, uahsc - häisä berri
benda	moruf		mescefegnà	መሸፈኛ	meammeti		bande	rabâta, zeham - mläffä
bene	gàri	ጋሪ	melkàm	መልካም	tsebbùqh		bien	khir, taib, tayyb - bähi
benedire	èbisu, baràku	ኤብሱ	bàrraka	ባረከ (መባረክ)	barekhè		bénir	bârak
benedizione	èbisa, baràka	ኤብሳ	burachiè	ቡራኬ	hurachiè		bénédiction	barâka - bârka
benefico	argià		melcam-serat	መልካም-ስርዓት	demet		bienfaisant	efada - krîm
bere	dugaciù	ዱጉ	tettà	ጠጣ	seteyè		boire	sciârab - srab
bestia	binensa	ሌንጫ	ensessà	እንሰሳ	ensesà	እንሰሳ	bête  	behim, bahîma - häisä
besiame	horì	ሆራ	chebt	(መንጋ)	chebtì, ahà		bétail	mauâsci - bgar
bevanda miele	berzì		mar 	ማር	lengù		boisson miellée	sciorba - srab häsäl
bianco	hadì	ሃዲ	necc 	ነጭ	tsaedà	ፃህዳ	blanc	abiad - abjâdd
bibbia	kedusmazàfa		mettaf	መፃፍ	metsehàf	መፅሃፍ	bible	taura - gurân
bicchiere	wancia		bertceq		berecceqqò		verre	cubbâja - tâsa, kes
bile	adoftu		thafeià,beseccet		quttà		bile	mossem - sîmm
biondo	diddizamè		werqqàm	ወርቃም	bahài		blond	asqar - azhar, âshab
birra	farsò	ፈርሶ	ttellà	ጠላ	swà	ሰዋ	bière	bira - birä
bisaccia	calcalò	ቀልቀሎ	aqqomadà	አቆማዳ	curgì		havresac, besace	razma, hamla - hezmä
bisticciare	fallàmu	ፈልሙ	tettalà	ተጣላ	tebè-asè	ቲባኢሱ	se quereller	khâssam, daâ, menâtiye - thârak
bocca	afan	አፋን	af 	አፍ	af 	አፍ	bouche	fom, hânak - famm
bollire	dàmfu	ዳንፉ	fellà	ፈላ	felhè	ፈሊሁ	bouillir	gâla, mgalâ - grêla
borgo	gandà	ገንዳ	mendèr	መንደር	addì		bourg	carîa - garîa
borraccia	birillègafo		coddà	ኮዳ	eccòt		bidon	ghezâza hâskari - gulla hâskari
borsa	korgio	ኮረጆ	qarabò, cherettit	ቦርሳ	querbabbò		bourse	chis - chîsa
bosco	ciaka		udmà	ውድማ	dur		bois 	horsc, gâba - hâba
bottiglia	birillè	ከረሌ	ttarmùs, ttermùz	ጠርሙስ፣ ጠርሙዝ	tarmùz	ጠሙዝ	bouteille	qumqum, ghezâza - sîsa
braccio	arka		chend		qqeltsem		bras	deraâ, dîra - edrâh
brigante	jamtù		wembediè	ወንበዴ	wenbadì	ወንበዴ	brigant	môgrem, mozneb - gettel
briglia	lugàma	ሉጋማ	luguam	ሉጋም	leuguàm	ለውጋም	bride	legiâm - lzäm
brodo	danfa		yesèga - merèk	የስጋ መረቅ	merek	መረቆ	bouillon	maraqa - mêrga
bruciare	gubu	ጉቡ	aqqattelè	አቃጠለ	harerè	ዘሪሩ	brûler	akhraq, haragh - hrag
bruciatura	gubatè		meqqattèl	መቃጠል	meharer	መሪር	brûlure	hharq - hhârganâr
bruno	miti adì		damà	ዳማ	zegghì - bersen		foncé	môzlam, asmar - asmar
brutto	agià		ghem		ghenài		laid	samîg, cabîh, wihhîs - ebsah
bue	sanga	ሰንጋ	beriè	በሬ	barhai	ብህራይ	boeuf	bagar, ngombe - bgar
bufalo	gafàrsa	ገፈርሳ	gosc	ጎሽ	guebài		buffle	giamûs - zämus
bugia	soba	ሶበባ	woscèt	ውሸት	hesòt	ሐሶት	mensonge	chedb, kîdba - kidêb
bugiardo	sòvdu	ሶበዱ	wasciò	ዋሾ	hassàwi	ሐሳዊ	menteur	cadzâb, keddâb - keddêb
buio	ducana	ዱካነ	cellemà	ጨለማ	tselmàt		sombre	zolma, dalma - dol, samra
buona notte	nagan bulì	ነጋን ቡሊ	daeha ydaerù	ደህና ይደሩ	dahan hederù	ዳህን ህደሩ	bonne nuit	saleha lel - lilt äk mabruka
buona salute	fajà kadba		thienai istellegn	ጤና ይስጥልኝ	tsienè-istellen	ጤና ይስጥልኝ	bonne santé	selam hale-kum, tayybe barka
buona sera	nagan oltè	ነጋን አልቴ	eundièt uàleh	እንዴት ዋልህ	kemei-wealkà	ከሚ ዋልክ	bon soir	saleha massâ - imässik el-kêr
buon giorno	nagan bultè	ነጋን ቡልቲ	eundièt adereh	እንዴት አደርህ	kemei hadercà	ከሚ አደር	bon jour	taieb jôm sbahh el-kêr
buono	gari	ጋሪ	melcam 	መልካም	tsebbùqh		bon	taieb, tayyib - taiib
buon'ora	dafi		ttuat	ጠዋት	ttuàt		de bonne heure	cauâm chetir - jäser fissa
burro	dadà	ደዳ	qebiè	ቅቤ	ttesmì	ጠስሚ	beurre	tayyeb, zebda, zibda - zebdä
burrone	hallàja		ghedèl	ገደል	tsedfì		ravin	dahura, giandala - buhaz
caccia	adèn	አደን	adèn	አደን	hàden	ሀደን	chasse	sêd, séd - sedä, sydä
cacciare	adàmu	አዳሙ	addeuè		heddenè		chasser	saâd, sâd - stad
cacciatore	adagne		addegn	አዳኝ	hadany	አደኒ	chasseur	sayyâd, saiâd - sjâd
cachessia	albati	አልባቲ	teqqmatt	ተቅማጥ	aitallel		cachexie	giariân - zeri l-kêrs
cadavere	dùa, rèfa	ዳኢሆንፋ	ressa	ረሳ	riesà	ራሃሳይ	cadavre	rêmma, gîtte - zitte, znêza
cadere	bùku		weddeqè	ወደቀ	wuedeqhè	መደቀ	tomber	waqaâ, wiqîh - saqat
cadere in battaglia	agèsu		motè	ሞተ	motè	ሞተ	mourir en bataille	mât hharb, tauâka harb
caduta	bùna, gùfu		uedeqqèt	ውድቀት	wudeqhè	ወዲቁ	chute	uagâ - tâihha
caffè	kaa, bûna	ቡና	bun	ቡና	bun	ቡን	café	qahwa, bum, bon, bun - gâhua
caffetterîa	manabuna	መናቡ	bun-biet	ቡና-ቤት	bun-bet	ቡን-ቤት	café	gahuâgi - gahuâsi
cagna	arisà		woscià	ውሻ	kelby	ከልቢ	chienne	chelba, kalbe - kelbä
calamaio	calàmi		med	ቀለም	betcalam		encrier	dauâia, dawâya - duwâje
calce	baràssa		norà	ኖራ	nora	ኖራ	chaux	cals, nura, gîr - zîr
caldo	hohà	ሆኢ	harur	ሃሩር	harùr	ሃሩር	chaud	har, hharâra - skhûn
calendario	wogà-làkâa		bahri-hassab		bahri-hasab		calendrier	ruzmâna, taquîn - tägiûm
calmo	gari		cemmet, tciay		hedù		calme	hâdî, sâchen - ghâd
calunnia	hamà		amièt	አሜት	hamièt	ሃሜት	calomnie	buhtân, namîma, eftêra - ftirä
calunniare	kippau		amy, ammà	አሚ/አማ	hammeyè		calomnier	batata, nam, aftârh - sâbb, nhâr
calvo	molù		berà	በራ	beràh	በራ	chauve	aslaâ, aslâh - menhêr shâr
calzari, sandali	kegacciù		ciammà	ሻማ	ciammà	ሻማ	chaussures, botte	giazma, khafif - mdäs
calzolaio	ugiù coppè		tciammaserì	ጫማሰሪ	tciammawi		cordonnier	escafi, giazmatî, gazmagî - sbâbti
cazoni	coffo		surry	ሱሪ	serrè	ሱሪ	pantalon	seruâl, bantalûn - siruäl
cambiare	gegiru, diddiru	ጂጅሩ	lawwàcc	ለዋጭ	ghemttelè		changer	badal, gaiar, gayyar - bêddel
