English	Amharic		
ፕሮፌሰር ዊልያም ሊዎ ሀንስበሪ። 	PROF. WILLIAM LEO HANSBERRY		
ፕሮፌሰር ዊልያም ሲዎ ሐንስበሪ ሚሲሲፒ ዩናይትድ ስቴትስ ተወለዱ። ትምህርታቸውን በሐርባርድ በቪርጂኒያ ስቴት ኮሌጅ ኦክስፎርድና ካይሮ ዩኒርሲቲዎች በማጥናተ ካናቀቁ በኋላ በሐዋርያ ዩኒቨርስቲ የረጅም ጊዜ አገልግሎት ሰጥተዋል። ስለ አፍሪካ ሥልጣኔ ተዳዳሪ የሌለው ትምህርት ከ፵ ዓመት በፊት ማስተማር ከመጀመራቸውም በላይ በግል ገንዘባቸውና በጥለቅ ምርምር የተገኘ ማስረጃ በመያዝ እውነቱን የተመረኮዙየአፍሪካ ታሪክና ባሕል ደጋፊነታቸው የታወቀ ነው። 	professor William leo Hansberry was born in Mississipi and educted in HArvard, Virginia State Collge, the Universities of Oxford and Cairo and has served Howard University over a long period of time. Beginning 40 years ago, he introduced the first course on early African civilisations, course eriched and documented with material obtained often at his ownd expense and presented always with his exemplary dedication to the truth revealed by research. 		
በተጨማሪ ፕሮፌሰር ሐንሰበሪ የአፍሪካ ታሪክ በወገኖቸው በአሜሪካኖ እንዲታወቅና ዋጋው እንዲገመት ላደረጉት ትግልና አሁን መሪዎች ሆነው የሚገኙትን የተጎናጸፈ መሪነት ስለ ሰጡ የ፲፱፻፶፮ ዓ.ም የቀዳማዊ ኃይለ ሥላሴ ሽልማት በአፍሪካ ጥልቅ ምርምር የኢት ብር ፸ 	Prof. William Leo Hansberry is an Adviser and Distinguished professor of the University of Nigeria;a Trustee of the African- American institute ; for eight years the was Chairman of the Governing council of Africa House in Washington, and also Adviser to the private organisation,, Operations Cross-roads Africa." 		
ፕሮፌሰር ሐንስበሪ የአፍሪካ ታሪክ በወገኖቻችው በአሜሪካኖ እንዲታወቅና ዋጋው እንዲገመት ላደረጉት ትግልና አሁን መሪዎች ሆነው  የሚገኙትን የአንድ ሙሉ ትውልድ አፍሪካዊ ተማዎች በወደፊት ኑሯቸው በእምነትና በድፍረት እንዲቋቋሙና በታሪካቸው እንዲኮሩ በማበረታታት ዕውቀትን የተጎናጸፈ መ ሪነት ስለ ሰጡ የ ፲፱፻፶፮ ዓ.ም የቀዳማዊ ኃይለ ሥላሴ ሽልማት በአፍሪካ ጥልቅ ምርምር የኢት ብር ፸ ሺህ ከወርቅ ኒንና ዲፕሎማ ጋር ይሰጣቸዋል። 	The Haile Selassie Award for AFrican Research of a value of Eth. $70,000, gold medal, and diploma will be awarded to professor William Leo Hansberry for his an thropological, archaeological and historical studies of Africa, for being the tourch bearer who opened the eyes of his fellow-Americans to see and appreciated the vast and still uncharted world of African history, and for the inspiration he gave to a whole generation of students - the present leaders of African and through them the people generation of students- the present leaders of Africa and through them the people generation of students- the present leaders of African and through them the people generation fo students- the present leaders of Africa and through them the people of Africa-to reafffirm their identity so that they can face the future with faith, confidence and courage. 		
የ፲፱፻፶፮ ዓ.ም የአፍሪካ ጥልቅ ምርምር ሽልማት ያገኙት የፕሮፌሰር ዊልያም ሊዎ ሀንስበሪ ንግግር	Acceptance speech by Prof. William Leo Hansberry 		
በዓለም ታሪክና በዓለም ጉዳዮች ፊት የአፍሪካ እውነተኛ አቋም መሠረት ባለው አስተያየት ፍርድ ተመሥርቶ እንዲታይ በመጣጣር የሙከራ ሥራዬን ከጀመርኩ ፶ ዓመት ሆኖኛ። ይህን ጥናት በምከታተልበት ጊዜ የአፍሪካ ታሪክ በተጻፈም ሆነ ባልተጻፈ ነገር  ብዙ ማስረጃ እንዳለው ተገንዝቤአለሁ። ዳሩ ግን እነዚህ የአፍሪካ ታሪክ መሠረት የሆኑ ታላላቅ ማስረጃዎች  በዓለም ላይ በሰፊው ሳይታወቁ መቅረታቸው ብዙ ጊዜ ጥልቅ የሆነ ሐዘን ሳያሳድርብኝ አልቀረም። 	For nearly 50 yyears, I have been endeavouring to search out and correelted and synthesize in a critical and humanized manner the relevant evidence relating to Africa's true position in world history and in world affairs. In the course of this effort, I have been profoundly impressed by the abudance of evidence relating to Africa's storied and unstoried past. But I have often been deeply distressed by the fact that the truie import of this evidence was so little known to the world at large. 		
ስለዚህ በመላው ዓለም ፊት ይህ የተከማቸ ማስረጃ ይታወቅ ዘነድ የደከሙትን ተመራማሪዎች ለማሳወቅና ለመደገፍ ግርማዊነትዎ የሽልማቱን ድርጅት ማቆምዎ በታወቀ ጊዜ እጅግ ከፍ ያለ ደስታ ተሰማኝ። ይህን ሥራ በማከናወን ድካሜ ታይቶ መጀመሪያውን የቀዳማዊ ኃይለ ሥላላሴ የአፍሪካ ጥልቅ ምርምር ሽልማት ለኔ መስጠቱን በሰማሁ ጊዜ ጥልቅ የሆነ የምስጋና ስሜት በልቤ አደረ። 	I was therefore immensely pleased when I learned that your imperial Maesty had established a Trust which has as one of its primaerey objectives to recogize and encourage those who are devoting themselves to the task of making this vast body of evidence available in convenient from to the world at large. I was especially gratified of evidence available in convenient form to the world at large. I was especially gratified when I lerned that I had been chosen as a recipient of the first Haile Selassie I prize Trust Award for African Research in m y efforts towards this end. 		
አፍሪካ በታሪክም ሆነ በሌላው ጉዳይ እውነተኛ የታረመ ደረጃዋ እንዲሰጣት  በጀመርኩት ትግል ይህ ሽልማት ሲሰጠኝ ምስጋናውን ከኔ ጋር  በመንፈስ በመተባበር ለግርማዊነትዎ የሚያቀርቡት የአገሬ ሰዎች አሜሪካውያን ብቻ ሳይሆኑ በሌላም  በኩል ያሉ የጥናት ሥራ ጓዶቼ ናቸው። 	I am confident, your imperial MAjesty, that many of my fellow-Americans and African brothers join me in expressing to you and the Trustees of the Haile Selassie I prize Trust my very deep gratitude for the great honour which you have bestowed upon me for my effort over deep gratitude for the grat honour which you have bestowed upon me for my efforts over the years to asssist in correcting longstanding misconceptions about Africa's proper place in world  history and in world affairs. 		
እግዚአብሔር ይህን የመጠኑን ታላቅ ስራ ለብዙ  ዓመታት ከመልካም ግብ እንዲያደርስልዎ ይሁን። 	May God grant that your great work continue for many years to come. 		
ከግርማዊ፤ ንጉሠ ነገሥት እጅ ፕሮፌሰር ሐንስበሪ ሽልማት ሲቀበሉ። አቅራቢ አቶ የወነድ ወሰን መንገሻ።	His imperial Majesty awarding prof. W.L. Hansberry, presented by Ato Wondowesen Mengesha.		
ክቡር አቶ ከበደ ሚካኤል	H.E ATO KEBEDE MIKAEL		
ክቡር አቶ ከበደ ሚካኤል ለድርሰት ለአማርኛ ስነ ጽሑፍ ያላቸው ፍቅርና ያደረጉት ጥረት በኢትዮጵያ ከታወቁት ደራሲዎች መካከል ከፍያለና ክብር ያለው ቦታ ሰጥቷቸዋል። 	H.E ATO KEBEDE MIKAEL has assured himself and honoured place among Ethiopia authors through his litary achievements and dedication to intellecual pursuits. 		
ክቡር አቶ ከበደ ሚካኤል አማርኛ የዕውቀት መቀበያ እንዲሆን ለሚማረው ወገን መማሪያ የተማረው ወገን የሚያነበው የስድና የግጥም ጽሑፍ በአማኛ በማበርት ቋንቋውንም ከባለሥነ ጽሑፎች ቋንቋዎች ጋር እንዲሰለፍ በይበልጥ ስላዳሩና ኢትዮጵያዊያም በማድረግ ለኢትዮጵያ ሕዝብ በማበርከት አማርኛ የኢትዮጵያና የሌሎም ሀገሮች ባህል ለመግለጽ የሚችል መሆኑን ስላሳዩ የ፲፱፻፶፯ የቀዳማዊ ኃይለ ሥላሴ ሽልማት በአማርኛ ሥነ ጽሑፍ ዋጋው የኢት ብር ፯ ሺህ ከወርቅ ኒሻንና ዲፕሎማ ጋር ይሰጣቸዋል። 	The Haile Selassie Award for Amharic Literature of a value of Eth.$7,000, gold medal, and diploma will be awarded to H.E. Ato Kebde Mikel, for his signifcant contribution to the enrichment of the Amharic language by providing rich and diversified literature to the learning and reading public, by adapting renowned literary national language is flexible, rich , adaptable, and capable to express not only the cultural heritage of Ethiopia but also the heritages of other nations. 		
ክቡር አቶ ከበደ ሚካኤል የአማርኛ ሥነ ጽሑፍ ተሸላሚ።	H.E. Ato Kebede Mikael, laureate of Amharic Litrature.		
አቶ አፈወርቅ ተክሌ።	ATO AFEWERK TEKLE 		
አቶ አፈወርቅ ተክሌ አንኮበር በ፲፱፻፳፭ ዓ.ም ተወለዱ አብዛኛውን ትምህርታቸውን ለንደን በሚገኘው በስሌድ የአርትስ ፋኩልቲ በመጀመሪያ ተከታተሉ። በኋላም ፓሪስ ሮም ፍሎሬንስና ስፔይን በልዩ ልዩ ከፍተኛ ትምህርት ቤቶች አጥንተዋል። የአቶ አፈወርቅ ተክሌ ልዩ ልዩ ሥራዎች በአራት ክፍል ዓለሞች በመሰራጨታቸው በኢንተርናሽናል ደረጃ የወጣቱ አርቲስት ስም ለመታወቅ በቅቷል። 	The Ethiopia artist of international repute was born in 1925 E.C in Ankober in teh province of Showa. His early training as an artist was mainly at the Slade Faculty of ARts in London, He has since studied in paris, Rome, Florence and Spain. The works of Afewerk Tekele are to be found in private and public collection in Europe, Russia, America and Africa. 		
አቶ አፈወርቅ ተክሌ ከፍ ያለ ችሎታና ዲሲፕሊን ያላቸው አርቲስት ከመሆናቸውም በይበልጥ ባረከቷቸው የሥዕል ብዙ ሥራዎች የክፍለ ዓለማቸውን አጉልተው ስለገለጹና በኢዮጵያ በዘመናዊ የአርት ቴክኒክ መሥራት ከጀመሩ ከቀዳሚዎቹ አንዱ ስለሆነ የ፲፱፻፶፯ ዓ.ም የቀዳማዊ ኃይለ ሥላሴ ሽልማት ከኪነ ጥበብ የኢት.ብር ፯ ሺህ ከወርቅ  ኒሻንና ዲፕሎም ጋር ይሰጣቸዋል። 	Te Haile Selassie Award for fine Arts of a value of Eth. $7,000 gold medal, and diploma will be awarded to Ato Afewerk Tekele, versatile and disciplined artis, for his outstanding paintings, drawings, landscapes, oils, and portraits which eloquently express his particular world environment, and for his contribution in being among the first to introduce contemporary techniques to Ethiopian subject matter and content. 		
የአቶ አፈወርቅ ተክሌ መልስ	ACCEPTANCE SPEECH BY ATO AFEWERK TEKLE 		
ግርማዊ ሆይ 	YOUR IMPERIAL MAJESTY 		
ታላላቅ የሕይወት ሊቃውንትና ፈላስፎች እንዳረጋገጡልን ሁሉ የሰው ልጅ የሕይወት የሐዘንንና የደስታን የኑሮ ምሰሶ ተደግፋ የቆመች መሆኗን ዛሬ በዚህች ትልቅ  የደስታ ቀን ሳላስታውስ አላልፍም። 	On this solemn occasion of my extreme happines, I cannot help remembering that repeated affirmation by the many schoars and philosophers, who have contemplated at length on this life of ours "that a span of man's life is somposed of sorrow and happiness alternately". 		
ይህንም ስል በዚህች በአጭሯ እድሜዬ ውስጥ ይልቁንም የልጅነት ሕይወቴን በመከራና በኀዘን እንጂ በደስታ ያሳለፍኩ ጊዜ እጅግ ትዝ አይለኝም። አሁን ግን ዕድ ለግርማዊ ቀዳማዊ ኃይለ ሥላሴ ክብርና ምስጋና ለኢትዮጵያ ይሁን ባለፉት ዓመታት ለለፋሁበት አሰጥቶ  በተመልካ ሕዝብ ዘንድ አድናቆትን አትርፎ በራሴ በኩል ታላቅ ደስታን እነሆ አስግቶልኛል። 	In saying this, the span of my young life, particularly in my childhood, I do not recall any happiness, except times filled with suffering and sorrow. But now, thanks last few years the fruits of my hard work have brought me appreciation from the one who brought me up and educated me, my sovereign Emperir; admiration from the who brought me up and educated me, my Sovereign Emperor; admiration from the enlightened public at large, and great happiness to me as I have never experienced. 		
ግርማዊ ሆይ 	YOUR IMPERIAL MAJESTY, 		
ቸሩ ግርማዊነትዎን በታላቅ ትህትና የምለምነው እዚህ ለተሰበሰበው ሕዝብ በተለይም የጥበቤ አድናቂዎችና በሥራ ትግል ላይ በየጊዜው ባጋጠመኝ ፈተና ሁሉ ተስፋ እንዳልቆርጥ ተጋድ  በማደርግበት ጊዜ የሞል ድጋፍ የሆኑበኝን ሁሉ ‹‹ደስ ብሎኛል ይበላችሁ›› ስል ፍስሃየየን በትህትና እንድገልጽ ነው። 	I humbly beg your gracious MAjesty to allow me to tell those in this assembly. in particular those who witnessed and gave me moral support in my diffcult and sometimes impossible struggles in teh creative field for the dignity and integrity of art. With your gracious permission I was to say to them "I aM INDEED HAPPY TODAY AND THEY SHOULD BE HAPPY TOO!" 		
የኢትዮጵያ አንዲሁም የአፍሪካ ፤ የጥበብ ጮራ ግርማዊ ሆይ 	YOUR IMPERIAL MAJESTY, The patron and protector of Ethiopian, indeed of African Art, 		
ቀዳማዊ ኃይለ ሥላሴን ታሪካዊ ሥም የያዘውን ሽልማት ስቀበል ፤ የዚሁ የጥበብ ጮራ ፍንጣቂ እንደሆን አስቦና አክብሮ  በታክ ዘንድ ምስክር የሚሆን ሽልማት ለሰጠኝ ለግርማዊነትዎ ታሪክና እግዚአብሔር ተገቢ ወሮዎን ይክፈልዎ። 	In being the first artist to receive this prize which is highly esteemed and possessing the historic name of your Majesty, I feel  indeed most  honored. May God and history reward you. 		
እድሜ ለግርማዊ ቀ.ኃ.ሥ. 	Long live the Emperor 		
ኢትዮጵያ በነጻነቷ ለዘለዓለም ትኑር 	May Ethiopia live forever 		
ከግርማዊ ንጉሠ ነገሥት እጅ አቶ አፈወርቅ ተክሌ ሽልማት ሲቀበሉ። አቅራቢ አቶ አበበ ከበደ።	H.I.M awarding Ato Afewerk Tekle, presented by Ato Abebe Kebede.		
አቶ ተካ ኤጋኖ። 	TEKA EGHANO AND COMPANY 		
የተካ ኤጋኖ ኩባንያ ከተቋቋመ ፷ ዓመት ሲሆን የቡናን ተክል ዘመናዊ በሆነ መንገድ ለማሻሻል ያለማቋረጥ በመሥራቱ ፍሬ ያለው ውጤት አሳይቷል። ሠራተኞችን የማሠልጠንና የኑሯቸውን ደረጃ ማሻሻል ከሥራው ጋር በተያያዘ መሆኑን በመገንዘብ ኩባንያን የሠራተኞችን ደህንነት ቅድያ ያለው ኃላፊነት አድርጎ ተገቢ እርዳታ ያደርግላቸዋል። የተካ ኤጋኖ ኩባንያ በዘመናዊ የእርሻ ዘዴዎችና ቴክኒክ ለመጠቀምና ለመሥራት ባደረገው ጥረት ፍላጎትና ሙያ በጥሩ አኳኋን ታቅዶ የሚዳደርና የሚሠራ የቡና እርሻ በማካሄድ ጥሩ ምሳሉ ስለ ሆነ የ ፲፱፻፻፶፯ ዓ.ም የቀዳማዊ ኃይለ ሥላሴ ሽልማት በእርሻ ዋጋው የኢት.ብር ፯ ሺህ ከወርቅ ኒሻንና ዲፕሎም ጋር ይሰጠዋል። 	During the past seven years the company of take Eghano has continually striven to produce coffee of ever-improved quality. At the same time, it has given priority to the human take of promoting the level of its employees and their training for better achievements. 		
የአቶ ተካ ኤጋኖ መልስ። 	ATO TEKA EGHANO 		
ግርማዊ ሆይ። 	YOUR IMPERIAL MAJESTY! 		
የሚከተለውን ኃሳቤን በመግለጥ ግርማዊነት ፊት ለመቅረብ በመቻሌ እጅግ ከፍ ያለ ደስታ ይሰማኛል። የቐረብኩበትም ምክንት ለኢትዮጵያ ኤኮኖሚ ከሁለም የበለጠ ድጋፍ ያስገኛል ተብሎ በሚታመንበት የርሻ ሥራ በግርማዊነትዎ ሥም ከተቋቊመው የሽልማት ድርጅት እንድሸለም በመደረጉ ደስታዬ እጥፍ ድርብ ሆኖአል። 	It is great joy to me to come before Your Majesty and express my throughts, For reasons that agriculture is belived to be Ethiopia's Source of economy, and for my being the award recipient of the Haile Selassie I Prize Trust, my joy is double fold. 		
ምንም እኳ ለሽልማት ያበቃ የቡና ግብርና እጅግ አድካሚና ከባድ ቢሆንም ለዚህ ሥራ በቂ ኃብት ሣይኖረን በቆረጥነትና በመንፈስ ብርታት ብቻ ሥራችን እንዲጀመር ተደረገ። ሆኖም ብቻ ከመሰሥራት ይልቅ መተባባር የበለጠ ውጤት እንሚኖውም በማመን በማሕበር ሥም ሚስተር ኮታ አሌክሳንድራኪስ ፤ ሚስተር ጂዮሴፕ ጋላንቲና እ ተባባሪዎች ሆነን ሥንሰራ በመቆየታችን ለዚህ ከፍ ላለ ክብር በቃ ። ከዚህም ሌላ  በግርማዊነትዎ አርቆ አስተዋይነት የተቋቋመው የኢትዮጵያ ልማት ባንክ የሰጠንም ብድር ውጤት እዚህ ደረጃ አድርሶናል። 	Although plantation of coffee- the cause for our award- is a tiring task, we started growing coffee wigthout having enough capital, but with spirit and courage. Under Mr. Costa Alexandrakis, Mr. Guisseppe Galantina and my self collaborated to this venture and now we are granted this honour. Aside from this , the money we borrowed from teh Development Bank of Ethhiopia-established by Your Majesty's farsightedness is the rsult of this honour. 		
ግርማዊ ሆይ 	YOUR MAJESTY! 		
ከግርማዊነትዎ ተደጋግሞ እንደገለጠው ሁሉ በእርግጥ እርሻ የኢዮጵያን ኢኮኖሚ ከሁሉ የበለጠ ከፍተኛ ደረጃ ላይ እንደሚያደርሰው አይካድም። በተለይም የቡና እርሻ ታላቅ ጥቅም የሚያስገኝ ሆኖ  ባንዳንድ ሰው ጉልበት ብቻ  ለመስራት እጅግ ከባድ ይሆናል። በምገኝበትም ጠቅይ ግዛት ቡና ባለቤቷን ገድ እራሷ ትነሣለች እየተበናለ የሚተረተው በዚህ ምክንያ ሣይሆን አይቀርም። 	people from teh province I reside in say that , "cofffee kills her owner and rises herself", and I belive that they have good resons for saying this. Allthough it is difficult to use manual power of only few, as has been repeatedly stated by Your majesty, agriculture, and in particular coffee plantation is the step to development. 		
ማናቸውም ሥራ የሚል ብርታትን ይጠይቃ። መንፈስ የሚነቃቃውና የስሜትም ኃይል የሚሰቀሰው አስፈላጊው ድጋፍ ሁሉ ሲገኝ ነው። ስለ ቡናም ሆነ ስለሌላ እርሻ አሁን በሚረገው ዓይነት በበለጠ ትጋት ርዳታቸውንና ምክራቸውን የሚሰጡ  ባለ ልዩ ችሎ ኢትዮጵያን ሠራተኞች ወደፊት በብዛት ይገኛሉ ብለን ተስፋ እናደርጋለን። 	In any kind of work, there should be moral support. It is when there is such support that one's spirit is aroused. It is our hope-be it for coffee or any other  kind of agriculture- that there will  be many Ethiopian specialists, for their help and advise are needed. 		
የሕብረት እርሻ ጥቅምን ሊያስገኝ በመቻሉ ሌት ተቀን ባደረግነው ጥረት በስሜ ማኀበር እንዲቋቋም አደርጌ ባስገኘው ውጤት በማኀበሩ ስም ሽልማት እንዳገኝ መደረጉን ለትል ባለ እርሻዎች ዓይነተኛ ምሳሌ እንዲሆን አይጠረጠርም። 	For the privilege in cooperative farms, and in our day and night endevour, I managed to establish a company in my name, and for me to receive an award in the name of the company is a significant example to all private farm investors. 		
ይህ ሽልማት በብዙ ሸህ የሚጠሩ ኢዮጵያንን የሥራ ወኔ እንደሚቀሰቅሰው አምናለሁ። እንሰራለን፤ ስራችንን ግን የሚያውቅልን የለም። የሚለውን አነጋገር ይሰርዘዋል። ሽልማቱ ተሸላሚን ብቻ በማስደሰት የማይወሰን በመሆኑ ለኢትዮጵያ ልማትና ብልጽግና አንድ ዓይነት መስመር መያዙ አይካድም። 	I believe that this award will arouse the urge of thousands of Ethiopias, and inspire them to work, and abolish the idea of saying. "We work, but out work is not recognized". The award is not limited only to the joy of the recipient, but will not b e denied that it is a base to development and prosperity of Ethiopia. 		
ከዚህም ሽልማት ከዓለም ሕዝብ ከፍተኛ የሥራ ተግባር ካሣዩት ውስጥ እንዲሸለሙ በ መደረጉ እም የኢትዮጵያ ሕዝቦችዎ ካለም የሽልማት ድርጅቶች ሽልማት ለማግኘት በየተግባራችን ልባዊና መንፈሣዊ ቅንዓትን የተመላ ዝንባሌ እንደሚኖረን አልጠራጠርም። 	As people form any party of the world with prominent services recive awards from this Trust, I believe that we, Your people of Ethiopia, according to our ability would with spirit and wholeheartedness serive to be participants of international awards. 		
ቸሩ እግዚአብሔ ለግርማዊነትዎ ረጅም ዕድሜን ያጎናጽፋልና፤ 	Long live Your Imperial Majesty! 		
ልዑል አልጋ ወራሽ መርዕድ አዝማች አስፋ ወሰንን ይጠብቅልን 	Long live His imperial Highness! 		
ኢትዮጵያ በነጻነት ለዘለዓም ትኑር። 	Long live Ethiopia for every free. 		
ከግርማዊ ንጉሠ ነገሥት እጅ አቶ ተካ ኤጋኖ ሽልማት ሲቀበሉ። ከግራ ክቡር ጸሐፌ ትእዛዝ አክሊሉ ሀብተ ወልድ የሽልማት ድርጅት ሊቀ መንበር።	H.I.M awarding Ato Teka Eghano, presented by Dr. G.E.W. Wolstenholme.		
የኢትዮጵያ ጎማ ቁጠባ ሥራ 	ETHIOPIAN TYRE ECONOMY PLANT 		
የሰባት ዓመት ዕድሜ ያለው የኢትዮጵያ የጎማ ቁጠባ ማኀበር ለሀገር ጥቅም የሚረዳ ሥራ በመሥራቱ ለኢትዮጵያ ኢኮኒሚ ዕድገት ተካፋይ ሆኖ ከመገኘቱም በላ በእንዱስትሪ ሥራ ላይ ለሚገኙት ኢትዮጵያውያን ምሳ ለመሆን የሚል የግል ኩባንያ  ነው። 	The Ethiopia Tyro Economy plant merits recognition for endeavors contributive to the growth of the national economy and the exemplary value of its activities during the seven years of its existence. 		
